Time,EventName,EventSource,ClientIP
2024/06/02 08:13:02,Battery Mode,MCU Polling,----
2024/06/02 08:13:05,AC failure,MCU Polling,----
2024/06/02 08:16:10,AC recovery,MCU Polling,----
2024/06/02 08:16:17,Line Mode,MCU Polling,----
2024/06/02 14:06:50,Fault Mode,MCU Polling,----
2024/06/02 14:06:51,Over temperature fault,MCU Polling,----
2024/06/02 14:06:52,Over temperature alarm,MCU Polling,----
2024/06/02 14:10:44,Bypass Mode,MCU Polling,----
2024/06/02 14:15:53,Bypass Mode,MCU Polling,----
2024/06/02 14:21:03,Bypass Mode,MCU Polling,----
2024/06/02 14:26:12,Bypass Mode,MCU Polling,----
2024/06/02 14:31:20,Bypass Mode,MCU Polling,----
2024/06/02 14:36:29,Bypass Mode,MCU Polling,----
2024/06/02 14:41:28,Bypass Mode,MCU Polling,----
2024/06/02 14:46:29,Bypass Mode,MCU Polling,----
2024/06/02 14:51:28,Bypass Mode,MCU Polling,----
2024/06/02 14:56:38,Bypass Mode,MCU Polling,----
2024/06/02 15:01:38,Bypass Mode,MCU Polling,----
2024/06/02 15:06:46,Bypass Mode,MCU Polling,----
2024/06/02 15:11:55,Bypass Mode,MCU Polling,----
2024/06/02 15:16:55,Bypass Mode,MCU Polling,----
2024/06/02 15:21:55,Bypass Mode,MCU Polling,----
2024/06/02 15:26:57,Bypass Mode,MCU Polling,----
2024/06/02 15:31:57,Bypass Mode,MCU Polling,----
2024/06/02 15:36:58,Bypass Mode,MCU Polling,----
2024/06/02 15:41:59,Bypass Mode,MCU Polling,----
2024/06/02 15:47:00,Bypass Mode,MCU Polling,----
2024/06/02 15:52:00,Bypass Mode,MCU Polling,----
2024/06/02 15:57:00,Bypass Mode,MCU Polling,----
2024/06/02 16:02:01,Bypass Mode,MCU Polling,----
2024/06/02 16:07:09,Bypass Mode,MCU Polling,----
2024/06/02 16:12:19,Bypass Mode,MCU Polling,----
2024/06/02 16:17:19,Bypass Mode,MCU Polling,----
2024/06/02 16:22:19,Bypass Mode,MCU Polling,----
2024/06/02 16:27:19,Bypass Mode,MCU Polling,----
2024/06/02 16:32:19,Bypass Mode,MCU Polling,----
2024/06/02 16:37:20,Bypass Mode,MCU Polling,----
2024/06/02 16:42:19,Bypass Mode,MCU Polling,----
2024/06/02 16:47:20,Bypass Mode,MCU Polling,----
2024/06/02 16:52:20,Bypass Mode,MCU Polling,----
