Time,EventName,EventSource,ClientIP
2024/03/02 17:31:42,Battery Mode,MCU Polling,----
2024/03/02 17:31:44,AC failure,MCU Polling,----
2024/03/02 17:33:42,AC recovery,MCU Polling,----
2024/03/02 17:33:49,Line Mode,MCU Polling,----
2024/03/02 19:38:33,Battery Mode,MCU Polling,----
2024/03/02 19:38:35,AC failure,MCU Polling,----
2024/03/02 19:39:44,AC recovery,MCU Polling,----
2024/03/02 19:39:51,Line Mode,MCU Polling,----
2024/03/04 12:59:24,Battery Mode,MCU Polling,----
2024/03/04 12:59:27,AC failure,MCU Polling,----
2024/03/04 13:01:44,AC recovery,MCU Polling,----
2024/03/04 13:01:51,Line Mode,MCU Polling,----
2024/03/05 14:37:17,Battery Mode,MCU Polling,----
2024/03/05 14:37:21,AC failure,MCU Polling,----
2024/03/05 14:41:45,AC recovery,MCU Polling,----
2024/03/05 14:41:52,Line Mode,MCU Polling,----
2024/03/12 19:49:17,Battery Test,MCU Polling,----
2024/03/12 19:49:26,Line Mode,MCU Polling,----
2024/03/12 19:49:29,Battery self-test passed,MCU Polling,----
2024/03/13 09:28:43,Battery Mode,MCU Polling,----
2024/03/13 09:28:46,AC failure,MCU Polling,----
2024/03/13 09:31:22,AC recovery,MCU Polling,----
2024/03/13 09:31:29,Line Mode,MCU Polling,----
2024/03/18 11:19:35,AC failure,MCU Polling,----
2024/03/18 11:19:43,Battery Mode,MCU Polling,----
2024/03/18 13:02:32,Low battery,MCU Polling,----
2024/03/18 16:53:48,Connect to time server error,SNTP,----
2024/03/18 16:53:55,Battery Mode,MCU Polling,----
2024/03/18 16:53:58,AC failure,MCU Polling,----
2024/03/18 17:00:58,AC recovery,MCU Polling,----
2024/03/18 17:01:05,Line Mode,MCU Polling,----
2024/03/18 17:15:17,AC failure,MCU Polling,----
2024/03/18 17:15:25,Battery Mode,MCU Polling,----
2024/03/18 17:18:14,AC recovery,MCU Polling,----
2024/03/18 17:18:21,Line Mode,MCU Polling,----
2024/03/18 17:30:28,AC failure,MCU Polling,----
2024/03/18 17:30:35,Battery Mode,MCU Polling,----
2024/03/18 17:47:44,AC recovery,MCU Polling,----
2024/03/18 17:47:51,Line Mode,MCU Polling,----
2024/03/19 11:37:52,AC failure,MCU Polling,----
2024/03/19 11:37:59,Battery Mode,MCU Polling,----
2024/03/19 13:09:27,Low battery,MCU Polling,----
2024/03/19 17:17:51,Connect to time server error,SNTP,----
2024/03/19 17:17:58,Line Mode,MCU Polling,----
2024/03/19 17:18:57,Battery Mode,MCU Polling,----
2024/03/19 17:19:00,AC failure,MCU Polling,----
2024/03/19 17:27:36,Low battery,MCU Polling,----
2024/03/19 17:35:58,Connect to time server error,SNTP,----
2024/03/19 17:36:05,Line Mode,MCU Polling,----
2024/03/20 15:39:23,AC failure,MCU Polling,----
2024/03/20 15:39:30,Battery Mode,MCU Polling,----
2024/03/20 16:15:11,AC recovery,MCU Polling,----
2024/03/20 16:15:18,Line Mode,MCU Polling,----
2024/03/23 09:16:06,Battery Mode,MCU Polling,----
2024/03/23 09:16:08,AC failure,MCU Polling,----
2024/03/23 09:16:38,AC recovery,MCU Polling,----
2024/03/23 09:16:45,Line Mode,MCU Polling,----
2024/03/26 16:51:13,Battery Mode,MCU Polling,----
2024/03/26 16:51:15,AC failure,MCU Polling,----
2024/03/26 17:15:00,AC recovery,MCU Polling,----
2024/03/26 17:15:07,Line Mode,MCU Polling,----
2024/03/28 07:35:00,Battery Mode,MCU Polling,----
2024/03/28 07:35:03,AC failure,MCU Polling,----
2024/03/28 07:35:52,AC recovery,MCU Polling,----
2024/03/28 07:35:59,Line Mode,MCU Polling,----
2024/03/28 07:36:18,Battery Mode,MCU Polling,----
2024/03/28 07:36:21,AC failure,MCU Polling,----
2024/03/28 07:37:20,AC recovery,MCU Polling,----
2024/03/28 07:37:27,Line Mode,MCU Polling,----
2024/03/28 22:11:13,Battery Mode,MCU Polling,----
2024/03/28 22:11:15,AC failure,MCU Polling,----
2024/03/28 22:12:34,AC recovery,MCU Polling,----
2024/03/28 22:12:41,Line Mode,MCU Polling,----
2024/03/30 04:28:55,Battery Mode,MCU Polling,----
2024/03/30 04:28:58,AC failure,MCU Polling,----
2024/03/30 04:35:09,AC recovery,MCU Polling,----
2024/03/30 04:35:16,Line Mode,MCU Polling,----
2024/03/30 05:32:31,AC failure,MCU Polling,----
2024/03/30 05:32:39,Battery Mode,MCU Polling,----
2024/03/30 05:36:59,AC recovery,MCU Polling,----
2024/03/30 05:37:06,Line Mode,MCU Polling,----
2024/03/30 09:00:58,Battery Mode,MCU Polling,----
2024/03/30 09:01:01,AC failure,MCU Polling,----
2024/03/30 09:08:50,AC recovery,MCU Polling,----
2024/03/30 09:08:58,Line Mode,MCU Polling,----
2024/03/30 14:30:44,AC failure,MCU Polling,----
2024/03/30 14:30:52,Battery Mode,MCU Polling,----
2024/03/30 14:34:01,AC recovery,MCU Polling,----
2024/03/30 14:34:08,Line Mode,MCU Polling,----
2024/03/31 12:44:33,Battery Mode,MCU Polling,----
2024/03/31 12:44:36,AC failure,MCU Polling,----
2024/03/31 12:46:33,AC recovery,MCU Polling,----
2024/03/31 12:46:40,Line Mode,MCU Polling,----
