Time,EventName,EventSource,ClientIP
2024/05/02 18:12:10,Battery Mode,MCU Polling,----
2024/05/02 18:12:12,AC failure,MCU Polling,----
2024/05/02 18:16:46,AC recovery,MCU Polling,----
2024/05/02 18:16:53,Line Mode,MCU Polling,----
2024/05/02 18:32:41,Battery Mode,MCU Polling,----
2024/05/02 18:32:45,AC failure,MCU Polling,----
2024/05/02 18:35:02,AC recovery,MCU Polling,----
2024/05/02 18:35:09,Line Mode,MCU Polling,----
2024/05/04 15:03:20,Fault Mode,MCU Polling,----
2024/05/04 15:03:21,Over temperature fault,MCU Polling,----
2024/05/04 15:03:21,Over temperature alarm,MCU Polling,----
2024/05/04 15:08:15,Bypass Mode,MCU Polling,----
2024/05/04 15:13:16,Bypass Mode,MCU Polling,----
2024/05/04 15:18:17,Bypass Mode,MCU Polling,----
2024/05/04 15:23:19,Bypass Mode,MCU Polling,----
2024/05/04 15:28:19,Bypass Mode,MCU Polling,----
2024/05/04 15:33:19,Bypass Mode,MCU Polling,----
2024/05/04 15:38:20,Bypass Mode,MCU Polling,----
2024/05/04 15:43:22,Bypass Mode,MCU Polling,----
2024/05/04 15:48:22,Bypass Mode,MCU Polling,----
2024/05/04 15:53:24,Bypass Mode,MCU Polling,----
2024/05/04 15:58:25,Bypass Mode,MCU Polling,----
2024/05/04 16:03:26,Bypass Mode,MCU Polling,----
2024/05/04 16:08:28,Bypass Mode,MCU Polling,----
2024/05/04 16:13:29,Bypass Mode,MCU Polling,----
2024/05/04 16:18:30,Bypass Mode,MCU Polling,----
2024/05/04 16:23:31,Bypass Mode,MCU Polling,----
2024/05/04 16:28:32,Bypass Mode,MCU Polling,----
2024/05/04 16:33:34,Bypass Mode,MCU Polling,----
2024/05/04 16:38:34,Bypass Mode,MCU Polling,----
2024/05/04 16:43:36,Bypass Mode,MCU Polling,----
2024/05/04 16:48:37,Bypass Mode,MCU Polling,----
2024/05/04 16:53:38,Bypass Mode,MCU Polling,----
2024/05/04 16:58:39,Bypass Mode,MCU Polling,----
2024/05/04 17:03:41,Bypass Mode,MCU Polling,----
2024/05/04 17:08:42,Bypass Mode,MCU Polling,----
2024/05/04 17:13:43,Bypass Mode,MCU Polling,----
2024/05/04 17:18:44,Bypass Mode,MCU Polling,----
2024/05/04 17:23:45,Bypass Mode,MCU Polling,----
2024/05/04 17:28:42,Bypass Mode,MCU Polling,----
2024/05/04 17:33:44,Bypass Mode,MCU Polling,----
2024/05/04 17:38:44,Bypass Mode,MCU Polling,----
2024/05/04 17:43:46,Bypass Mode,MCU Polling,----
2024/05/04 17:48:48,Bypass Mode,MCU Polling,----
2024/05/04 17:53:48,Bypass Mode,MCU Polling,----
2024/05/04 17:58:48,Bypass Mode,MCU Polling,----
2024/05/04 18:03:51,Bypass Mode,MCU Polling,----
2024/05/04 18:08:52,Bypass Mode,MCU Polling,----
2024/05/04 18:09:43,The warning:"Over temperature alarm"was removed,MCU Polling,----
2024/05/04 18:09:52,Line Mode,MCU Polling,----
2024/05/05 12:43:27,Battery Mode,MCU Polling,----
2024/05/05 12:43:30,AC failure,MCU Polling,----
2024/05/05 12:46:16,AC recovery,MCU Polling,----
2024/05/05 12:46:23,Line Mode,MCU Polling,----
2024/05/06 14:39:08,Fault Mode,MCU Polling,----
2024/05/06 14:39:09,Over temperature fault,MCU Polling,----
2024/05/06 14:39:10,Over temperature alarm,MCU Polling,----
2024/05/06 14:41:40,Bypass Mode,MCU Polling,----
2024/05/06 14:46:40,Bypass Mode,MCU Polling,----
2024/05/06 14:51:41,Bypass Mode,MCU Polling,----
2024/05/06 14:56:41,Bypass Mode,MCU Polling,----
2024/05/06 15:01:42,Bypass Mode,MCU Polling,----
2024/05/06 15:06:42,Bypass Mode,MCU Polling,----
2024/05/06 15:11:42,Bypass Mode,MCU Polling,----
2024/05/06 15:16:43,Bypass Mode,MCU Polling,----
2024/05/06 15:21:43,Bypass Mode,MCU Polling,----
2024/05/06 15:26:42,Bypass Mode,MCU Polling,----
2024/05/06 15:31:43,Bypass Mode,MCU Polling,----
2024/05/06 15:36:42,Bypass Mode,MCU Polling,----
2024/05/06 15:41:43,Bypass Mode,MCU Polling,----
2024/05/06 15:46:43,Bypass Mode,MCU Polling,----
2024/05/06 15:51:44,Bypass Mode,MCU Polling,----
