Time,EventName,EventSource,ClientIP
2024/02/01 08:57:29,Battery Mode,MCU Polling,----
2024/02/01 08:57:32,AC failure,MCU Polling,----
2024/02/01 09:00:19,AC recovery,MCU Polling,----
2024/02/01 09:00:26,Line Mode,MCU Polling,----
2024/02/01 11:26:57,Battery Mode,MCU Polling,----
2024/02/01 11:27:00,AC failure,MCU Polling,----
2024/02/01 11:29:56,AC recovery,MCU Polling,----
2024/02/01 11:30:03,Line Mode,MCU Polling,----
2024/02/01 11:36:05,Battery Mode,MCU Polling,----
2024/02/01 11:36:08,AC failure,MCU Polling,----
2024/02/01 11:47:11,AC recovery,MCU Polling,----
2024/02/01 11:47:18,Line Mode,MCU Polling,----
2024/02/01 12:34:32,Battery Mode,MCU Polling,----
2024/02/01 12:34:36,AC failure,MCU Polling,----
2024/02/01 12:39:49,AC recovery,MCU Polling,----
2024/02/01 12:39:57,Line Mode,MCU Polling,----
2024/02/01 16:20:54,AC failure,MCU Polling,----
2024/02/01 16:21:01,Battery Mode,MCU Polling,----
2024/02/01 16:22:39,Line Mode,MCU Polling,----
2024/02/01 16:22:42,AC recovery,MCU Polling,----
2024/02/01 19:17:59,AC failure,MCU Polling,----
2024/02/01 19:18:07,Battery Mode,MCU Polling,----
2024/02/01 19:31:49,AC recovery,MCU Polling,----
2024/02/01 19:31:56,Line Mode,MCU Polling,----
2024/02/02 08:02:02,Battery Mode,MCU Polling,----
2024/02/02 08:02:05,AC failure,MCU Polling,----
2024/02/02 08:49:13,Line Mode,MCU Polling,----
2024/02/02 08:49:16,AC recovery,MCU Polling,----
2024/02/02 08:50:12,Battery Mode,MCU Polling,----
2024/02/02 08:50:15,AC failure,MCU Polling,----
2024/02/02 08:51:23,AC recovery,MCU Polling,----
2024/02/02 08:51:31,Line Mode,MCU Polling,----
2024/02/05 00:16:19,Battery Mode,MCU Polling,----
2024/02/05 00:16:22,AC failure,MCU Polling,----
2024/02/05 00:18:09,AC recovery,MCU Polling,----
2024/02/05 00:18:17,Line Mode,MCU Polling,----
2024/02/05 00:36:52,Battery Mode,MCU Polling,----
2024/02/05 00:36:54,AC failure,MCU Polling,----
2024/02/05 02:16:46,AC recovery,MCU Polling,----
2024/02/05 02:16:56,AC failure,MCU Polling,----
2024/02/05 02:22:56,AC recovery,MCU Polling,----
2024/02/05 02:23:04,Line Mode,MCU Polling,----
2024/02/05 08:23:19,Battery Mode,MCU Polling,----
2024/02/05 08:23:22,AC failure,MCU Polling,----
2024/02/05 08:26:44,Line Mode,MCU Polling,----
2024/02/05 08:26:47,AC recovery,MCU Polling,----
2024/02/05 08:28:32,Battery Mode,MCU Polling,----
2024/02/05 08:28:35,AC failure,MCU Polling,----
2024/02/05 10:21:55,Low battery,MCU Polling,----
2024/02/05 10:29:37,Connect to time server error,SNTP,----
2024/02/05 10:29:44,Line Mode,MCU Polling,----
2024/02/05 20:42:51,Battery Mode,MCU Polling,----
2024/02/05 20:42:54,AC failure,MCU Polling,----
2024/02/05 20:44:52,AC recovery,MCU Polling,----
2024/02/05 20:44:59,Line Mode,MCU Polling,----
2024/02/06 15:15:56,AC failure,MCU Polling,----
2024/02/06 15:16:03,Battery Mode,MCU Polling,----
2024/02/06 15:18:42,AC recovery,MCU Polling,----
2024/02/06 15:18:49,Line Mode,MCU Polling,----
2024/02/08 16:29:15,Battery Mode,MCU Polling,----
2024/02/08 16:29:18,AC failure,MCU Polling,----
2024/02/08 17:49:29,Low battery,MCU Polling,----
2024/02/08 18:56:41,Connect to time server error,SNTP,----
2024/02/08 18:56:48,Line Mode,MCU Polling,----
2024/02/08 21:31:47,Battery Mode,MCU Polling,----
2024/02/08 21:31:51,AC failure,MCU Polling,----
2024/02/08 21:40:19,AC recovery,MCU Polling,----
2024/02/08 21:40:27,Line Mode,MCU Polling,----
2024/02/16 02:47:52,Battery Test,MCU Polling,----
2024/02/16 02:48:02,Line Mode,MCU Polling,----
2024/02/16 02:48:04,Battery self-test passed,MCU Polling,----
2024/02/16 13:29:55,Battery Mode,MCU Polling,----
2024/02/16 13:29:57,AC failure,MCU Polling,----
2024/02/16 13:53:52,AC recovery,MCU Polling,----
2024/02/16 13:53:59,Line Mode,MCU Polling,----
2024/02/23 19:01:22,Battery Test,MCU Polling,----
2024/02/23 19:01:32,Line Mode,MCU Polling,----
2024/02/23 19:01:34,Battery self-test passed,MCU Polling,----
2024/02/25 14:03:47,Battery Mode,MCU Polling,----
2024/02/25 14:03:50,AC failure,MCU Polling,----
2024/02/25 14:07:06,AC recovery,MCU Polling,----
2024/02/25 14:07:13,Line Mode,MCU Polling,----
2024/02/26 16:35:37,Battery Mode,MCU Polling,----
2024/02/26 16:35:40,AC failure,MCU Polling,----
2024/02/26 16:36:00,AC recovery,MCU Polling,----
2024/02/26 16:36:07,Line Mode,MCU Polling,----
2024/02/27 13:34:24,Battery Mode,MCU Polling,----
2024/02/27 13:34:28,AC failure,MCU Polling,----
2024/02/27 13:35:36,AC recovery,MCU Polling,----
2024/02/27 13:35:43,Line Mode,MCU Polling,----
2024/02/27 13:56:04,Battery Mode,MCU Polling,----
2024/02/27 13:56:07,AC failure,MCU Polling,----
2024/02/27 13:56:56,AC recovery,MCU Polling,----
2024/02/27 13:57:03,Line Mode,MCU Polling,----
