Time,EventName,EventSource,ClientIP
2024/01/01 07:56:01,Battery Mode,MCU Polling,----
2024/01/01 07:56:04,AC failure,MCU Polling,----
2024/01/01 12:48:34,Low battery,MCU Polling,----
2024/01/01 12:49:04,The warning:"Low battery"was removed,MCU Polling,----
2024/01/01 12:50:23,Low battery,MCU Polling,----
2024/01/01 13:09:34,Standby Mode,MCU Polling,----
2024/01/01 13:09:36,The warning:"Low battery"was removed,MCU Polling,----
2024/01/01 14:34:31,Connect to time server error,SNTP,----
2024/01/01 14:34:38,Line Mode,MCU Polling,----
2024/01/05 11:17:30,Battery Mode,MCU Polling,----
2024/01/05 11:17:34,AC failure,MCU Polling,----
2024/01/05 11:54:00,AC recovery,MCU Polling,----
2024/01/05 11:54:07,Line Mode,MCU Polling,----
2024/01/08 10:32:57,Battery Mode,MCU Polling,----
2024/01/08 10:33:01,AC failure,MCU Polling,----
2024/01/08 10:34:30,AC recovery,MCU Polling,----
2024/01/08 10:34:37,Line Mode,MCU Polling,----
2024/01/10 09:40:02,Battery Mode,MCU Polling,----
2024/01/10 09:40:05,AC failure,MCU Polling,----
2024/01/10 09:40:44,AC recovery,MCU Polling,----
2024/01/10 09:40:51,Line Mode,MCU Polling,----
2024/01/10 10:46:20,Battery Mode,MCU Polling,----
2024/01/10 10:46:23,AC failure,MCU Polling,----
2024/01/10 10:47:02,AC recovery,MCU Polling,----
2024/01/10 10:47:09,Line Mode,MCU Polling,----
2024/01/11 08:26:32,Battery Mode,MCU Polling,----
2024/01/11 08:26:35,AC failure,MCU Polling,----
2024/01/11 08:33:55,AC recovery,MCU Polling,----
2024/01/11 08:34:02,Line Mode,MCU Polling,----
2024/01/11 10:14:07,Battery Mode,MCU Polling,----
2024/01/11 10:14:10,AC failure,MCU Polling,----
2024/01/11 10:14:50,AC recovery,MCU Polling,----
2024/01/11 10:14:57,Line Mode,MCU Polling,----
2024/01/12 08:22:33,Battery Mode,MCU Polling,----
2024/01/12 08:22:36,AC failure,MCU Polling,----
2024/01/12 08:25:41,AC recovery,MCU Polling,----
2024/01/12 08:25:48,Line Mode,MCU Polling,----
2024/01/15 08:17:19,Battery Mode,MCU Polling,----
2024/01/15 08:17:22,AC failure,MCU Polling,----
2024/01/15 08:39:10,AC recovery,MCU Polling,----
2024/01/15 08:39:18,Line Mode,MCU Polling,----
2024/01/16 07:43:31,Battery Mode,MCU Polling,----
2024/01/16 07:43:35,AC failure,MCU Polling,----
2024/01/16 07:46:01,AC recovery,MCU Polling,----
2024/01/16 07:46:08,Line Mode,MCU Polling,----
2024/01/16 07:52:10,Battery Mode,MCU Polling,----
2024/01/16 07:52:12,AC failure,MCU Polling,----
2024/01/16 08:01:28,AC recovery,MCU Polling,----
2024/01/16 08:01:36,Line Mode,MCU Polling,----
2024/01/16 09:36:56,Battery Mode,MCU Polling,----
2024/01/16 09:36:58,AC failure,MCU Polling,----
2024/01/16 09:55:31,AC recovery,MCU Polling,----
2024/01/16 09:55:38,Line Mode,MCU Polling,----
2024/01/17 05:54:26,Battery Mode,MCU Polling,----
2024/01/17 05:54:36,Line Mode,MCU Polling,----
2024/01/24 11:01:40,Battery Test,MCU Polling,----
2024/01/24 11:01:50,Line Mode,MCU Polling,----
2024/01/24 11:01:53,Battery self-test passed,MCU Polling,----
2024/01/25 14:30:50,Connect to time server error,SNTP,----
2024/01/26 02:30:50,Connect to time server error,SNTP,----
2024/01/26 14:30:50,Connect to time server error,SNTP,----
2024/01/27 02:30:49,Connect to time server error,SNTP,----
2024/01/30 14:01:30,Battery Mode,MCU Polling,----
2024/01/30 14:01:33,AC failure,MCU Polling,----
2024/01/30 14:07:53,AC recovery,MCU Polling,----
2024/01/30 14:08:00,Line Mode,MCU Polling,----
2024/01/31 00:31:30,Battery Mode,MCU Polling,----
2024/01/31 00:31:32,AC failure,MCU Polling,----
2024/01/31 00:35:27,AC recovery,MCU Polling,----
2024/01/31 00:35:34,Line Mode,MCU Polling,----
