Time,EventName,EventSource,ClientIP
2024/07/01 00:07:12,Battery Mode,MCU Polling,----
2024/07/01 00:07:16,AC failure,MCU Polling,----
2024/07/01 00:09:23,AC recovery,MCU Polling,----
2024/07/01 00:09:30,Line Mode,MCU Polling,----
2024/07/02 21:46:44,AC failure,MCU Polling,----
2024/07/02 21:46:51,Battery Mode,MCU Polling,----
2024/07/02 21:48:23,AC recovery,MCU Polling,----
2024/07/02 21:48:30,Line Mode,MCU Polling,----
2024/07/03 10:21:32,Battery Mode,MCU Polling,----
2024/07/03 10:21:36,AC failure,MCU Polling,----
2024/07/03 10:24:02,AC recovery,MCU Polling,----
2024/07/03 10:24:09,Line Mode,MCU Polling,----
2024/07/04 22:49:06,Battery Mode,MCU Polling,----
2024/07/04 22:49:09,AC failure,MCU Polling,----
2024/07/04 22:50:27,AC recovery,MCU Polling,----
2024/07/04 22:50:34,Line Mode,MCU Polling,----
2024/07/05 18:42:35,Battery Mode,MCU Polling,----
2024/07/05 18:42:39,AC failure,MCU Polling,----
2024/07/05 18:48:20,AC recovery,MCU Polling,----
2024/07/05 18:48:28,Line Mode,MCU Polling,----
2024/07/06 05:23:05,Battery Mode,MCU Polling,----
2024/07/06 05:23:09,AC failure,MCU Polling,----
2024/07/06 05:24:05,Line Mode,MCU Polling,----
2024/07/06 05:24:08,AC recovery,MCU Polling,----
2024/07/06 08:12:43,Battery Mode,MCU Polling,----
2024/07/06 08:12:47,AC failure,MCU Polling,----
2024/07/06 08:13:45,AC recovery,MCU Polling,----
2024/07/06 08:13:52,Line Mode,MCU Polling,----
2024/07/06 10:03:53,Battery Mode,MCU Polling,----
2024/07/06 10:03:56,AC failure,MCU Polling,----
2024/07/06 10:08:19,AC recovery,MCU Polling,----
2024/07/06 10:08:26,Line Mode,MCU Polling,----
2024/07/06 10:09:28,AC failure,MCU Polling,----
2024/07/06 10:09:35,Battery Mode,MCU Polling,----
2024/07/06 10:59:15,Connect to time server error,SNTP,----
2024/07/06 12:51:20,AC recovery,MCU Polling,----
2024/07/06 12:51:27,Line Mode,MCU Polling,----
2024/07/06 15:18:36,Battery Mode,MCU Polling,----
2024/07/06 15:18:40,AC failure,MCU Polling,----
2024/07/06 16:08:06,AC recovery,MCU Polling,----
2024/07/06 16:08:13,Line Mode,MCU Polling,----
2024/07/07 23:03:57,Battery Mode,MCU Polling,----
2024/07/07 23:04:00,AC failure,MCU Polling,----
2024/07/07 23:06:36,AC recovery,MCU Polling,----
2024/07/07 23:06:43,Line Mode,MCU Polling,----
2024/07/08 08:58:09,AC failure,MCU Polling,----
2024/07/08 08:58:16,Battery Mode,MCU Polling,----
2024/07/08 08:59:56,AC recovery,MCU Polling,----
2024/07/08 09:00:03,Line Mode,MCU Polling,----
2024/07/08 10:58:56,Connect to time server error,SNTP,----
