Time,InputVolt1(V),OutputVolt1(V),OutputFreq(Hz),Load(%),BatteryVolt(V),Temp.(Degree),EMD temp.(Degree),EMD humidity(%)
2024/07/06 00:04:49,233.1,229.2,50.0,18,81.4,30.5,---,---
2024/07/06 00:09:49,234.0,229.5,50.0,12,81.5,30.5,---,---
2024/07/06 00:14:49,233.0,229.5,50.0,16,81.4,30.5,---,---
2024/07/06 00:19:49,233.2,229.5,50.0,17,81.4,30.5,---,---
2024/07/06 00:24:49,232.1,230.0,50.0,17,81.4,30.5,---,---
2024/07/06 00:29:49,233.8,230.0,49.9,17,81.6,30.2,---,---
2024/07/06 00:34:49,233.3,229.5,50.0,17,81.4,30.5,---,---
2024/07/06 00:39:49,232.6,229.6,50.0,17,81.5,30.2,---,---
2024/07/06 00:44:49,232.8,229.9,50.0,17,81.4,30.5,---,---
2024/07/06 00:49:49,234.4,229.9,50.0,17,81.4,30.5,---,---
2024/07/06 00:54:49,233.8,229.5,50.0,17,81.5,30.2,---,---
2024/07/06 00:59:49,232.0,230.0,49.9,17,81.4,30.2,---,---
2024/07/06 01:04:49,233.3,229.9,50.0,17,81.4,30.5,---,---
2024/07/06 01:09:49,233.2,229.8,50.0,17,81.4,30.2,---,---
2024/07/06 01:14:49,232.3,230.1,50.0,17,81.4,30.2,---,---
2024/07/06 01:19:49,232.6,229.6,50.0,17,81.5,30.2,---,---
2024/07/06 01:24:49,233.4,229.9,49.9,17,81.4,30.2,---,---
2024/07/06 01:29:49,233.6,229.8,50.0,17,81.4,30.2,---,---
2024/07/06 01:34:49,234.0,229.6,50.0,17,81.4,30.2,---,---
2024/07/06 01:39:49,233.2,229.9,50.0,17,81.5,30.2,---,---
2024/07/06 01:44:49,233.0,229.4,50.0,17,81.4,30.2,---,---
2024/07/06 01:49:49,232.9,229.7,50.0,16,81.4,30.5,---,---
2024/07/06 01:54:49,234.4,229.8,50.0,17,81.4,30.5,---,---
2024/07/06 01:59:49,233.9,229.9,50.0,17,81.3,30.5,---,---
2024/07/06 02:04:49,233.5,229.8,50.0,17,81.4,30.5,---,---
2024/07/06 02:09:49,233.9,229.8,50.0,17,81.4,30.5,---,---
2024/07/06 02:14:49,233.2,229.8,50.1,17,81.4,30.2,---,---
2024/07/06 02:19:49,233.1,230.1,50.0,17,81.5,30.2,---,---
2024/07/06 02:24:49,232.0,229.6,50.0,16,81.4,30.2,---,---
2024/07/06 02:29:49,233.5,229.4,50.0,16,81.4,30.2,---,---
2024/07/06 02:34:49,233.2,229.5,50.0,17,81.4,30.2,---,---
2024/07/06 02:39:49,232.2,229.5,50.0,17,81.5,30.2,---,---
2024/07/06 02:44:49,233.2,230.0,50.0,17,81.4,30.2,---,---
2024/07/06 02:49:49,233.2,229.5,50.0,17,81.5,30.2,---,---
2024/07/06 02:54:49,233.2,230.0,50.0,17,81.4,30.5,---,---
2024/07/06 02:59:49,232.6,230.0,50.0,17,81.4,30.5,---,---
2024/07/06 03:04:51,233.1,229.3,50.1,17,81.4,30.5,---,---
2024/07/06 03:09:50,232.3,229.8,50.0,17,81.4,30.5,---,---
2024/07/06 03:14:50,231.6,230.0,50.1,16,81.4,30.7,---,---
2024/07/06 03:19:50,231.5,229.7,50.0,17,81.4,30.7,---,---
2024/07/06 03:24:50,232.1,230.0,50.0,17,81.4,30.8,---,---
2024/07/06 03:29:50,232.3,229.8,50.0,17,81.4,30.8,---,---
2024/07/06 03:34:50,232.5,229.8,50.0,17,81.4,30.8,---,---
2024/07/06 03:39:50,232.8,230.0,50.0,17,81.3,30.8,---,---
2024/07/06 03:44:51,233.0,229.5,50.0,17,81.3,30.8,---,---
2024/07/06 03:49:53,233.1,229.3,50.0,17,81.4,30.7,---,---
2024/07/06 03:54:53,232.9,229.3,50.0,17,81.4,30.7,---,---
2024/07/06 03:59:53,233.1,229.4,50.0,17,81.4,30.7,---,---
2024/07/06 04:04:53,232.9,229.8,50.0,17,81.4,30.5,---,---
2024/07/06 04:09:53,232.9,229.4,50.0,17,81.4,30.5,---,---
2024/07/06 04:14:53,232.4,229.8,50.0,17,81.4,30.5,---,---
2024/07/06 04:19:53,232.5,229.8,50.0,17,81.4,30.5,---,---
2024/07/06 04:24:53,233.4,229.5,50.0,17,81.5,30.5,---,---
2024/07/06 04:29:53,233.1,230.2,50.0,17,81.4,30.5,---,---
2024/07/06 04:34:53,233.7,229.8,50.0,17,81.4,30.2,---,---
2024/07/06 04:39:53,231.8,229.9,50.0,17,81.4,30.2,---,---
2024/07/06 04:44:53,232.5,229.7,50.0,17,81.4,30.2,---,---
2024/07/06 04:49:53,231.8,229.7,50.0,17,81.4,29.9,---,---
2024/07/06 04:54:53,232.3,229.3,50.0,17,81.5,29.9,---,---
2024/07/06 04:59:53,230.8,230.5,50.0,16,81.4,29.9,---,---
2024/07/06 05:04:54,232.1,229.4,50.1,16,81.5,29.9,---,---
2024/07/06 05:09:56,232.4,229.8,50.0,17,81.5,29.7,---,---
2024/07/06 05:14:56,232.2,229.8,50.0,17,81.4,29.8,---,---
2024/07/06 05:19:56,231.3,229.9,50.0,17,81.6,29.0,---,---
2024/07/06 05:24:58,232.4,230.0,50.0,17,85.4,28.8,---,---
2024/07/06 05:30:00,230.9,229.8,50.0,17,81.6,28.4,---,---
2024/07/06 05:35:02,230.3,229.6,50.0,17,81.6,28.2,---,---
2024/07/06 05:40:01,230.9,229.4,50.0,17,81.6,28.2,---,---
2024/07/06 05:45:01,230.9,229.8,50.0,17,81.6,28.3,---,---
2024/07/06 05:50:01,230.0,230.0,50.0,16,81.7,28.4,---,---
2024/07/06 05:55:01,229.7,230.2,50.0,17,81.6,28.5,---,---
2024/07/06 06:00:01,230.2,229.4,50.0,18,81.7,28.7,---,---
2024/07/06 06:05:01,230.7,229.7,50.0,16,81.5,29.2,---,---
2024/07/06 06:10:03,230.7,229.9,50.0,16,81.4,29.4,---,---
2024/07/06 06:15:02,229.9,230.0,50.0,17,81.5,29.5,---,---
2024/07/06 06:20:02,230.8,230.2,50.0,16,81.4,29.9,---,---
2024/07/06 06:25:02,230.2,229.2,50.0,17,81.4,30.2,---,---
2024/07/06 06:30:04,230.4,229.8,50.0,17,81.5,30.5,---,---
2024/07/06 06:35:06,229.8,229.8,50.0,17,81.4,30.5,---,---
2024/07/06 06:40:06,229.5,229.5,50.0,17,81.4,30.7,---,---
2024/07/06 06:45:06,232.0,229.9,50.0,18,81.3,30.7,---,---
2024/07/06 06:50:06,233.2,229.7,50.0,16,81.3,31.2,---,---
2024/07/06 06:55:07,232.7,229.7,50.0,16,81.2,32.0,---,---
2024/07/06 07:00:07,232.5,229.5,50.0,17,81.1,32.7,---,---
2024/07/06 07:05:07,232.7,229.9,50.0,18,81.1,33.4,---,---
2024/07/06 07:10:07,232.0,230.0,49.9,17,80.9,33.9,---,---
2024/07/06 07:15:09,231.6,229.5,50.0,18,81.0,34.0,---,---
2024/07/06 07:20:11,231.2,230.0,50.0,18,81.0,33.4,---,---
2024/07/06 07:25:13,231.0,229.7,50.0,17,81.1,33.1,---,---
2024/07/06 07:30:12,230.6,229.9,49.9,18,81.1,32.7,---,---
2024/07/06 07:35:12,230.2,230.0,49.9,18,81.1,32.5,---,---
2024/07/06 07:40:12,231.2,229.8,49.9,17,81.2,32.3,---,---
2024/07/06 07:45:12,229.9,229.3,50.0,17,81.2,31.8,---,---
2024/07/06 07:50:12,229.5,230.0,49.9,18,81.2,31.7,---,---
2024/07/06 07:55:13,229.8,229.9,50.0,18,81.3,31.5,---,---
2024/07/06 08:00:13,230.2,230.0,50.0,17,81.3,31.3,---,---
2024/07/06 08:05:13,230.9,229.8,50.0,17,81.4,31.2,---,---
