Time,InputVolt1(V),OutputVolt1(V),OutputFreq(Hz),Load(%),BatteryVolt(V),Temp.(Degree),EMD temp.(Degree),EMD humidity(%)
2024/07/04 00:01:27,233.3,229.4,50.0,12,81.4,30.5,---,---
2024/07/04 00:06:27,231.8,229.9,50.0,13,81.4,30.5,---,---
2024/07/04 00:11:27,233.2,229.9,50.1,12,81.4,30.5,---,---
2024/07/04 00:16:27,232.4,229.3,50.0,16,81.4,30.2,---,---
2024/07/04 00:21:27,231.5,230.0,50.0,17,81.5,30.5,---,---
2024/07/04 00:26:27,232.1,229.7,50.0,17,81.5,30.2,---,---
2024/07/04 00:31:28,232.7,229.7,50.0,17,81.4,30.2,---,---
2024/07/04 00:36:28,232.5,229.8,50.0,17,81.5,30.2,---,---
2024/07/04 00:41:30,233.0,229.7,50.0,17,81.4,30.2,---,---
2024/07/04 00:46:29,232.6,229.7,50.0,17,81.4,30.2,---,---
2024/07/04 00:51:29,233.0,230.0,50.0,17,81.4,30.2,---,---
2024/07/04 00:56:29,232.9,229.9,50.0,16,81.4,30.2,---,---
2024/07/04 01:01:31,233.8,229.9,50.0,16,81.4,30.2,---,---
2024/07/04 01:06:32,233.7,229.3,50.0,16,81.5,30.2,---,---
2024/07/04 01:11:33,231.9,229.7,50.0,18,81.5,29.9,---,---
2024/07/04 01:16:33,232.8,230.0,50.0,17,81.5,30.2,---,---
2024/07/04 01:21:35,233.3,229.4,49.9,17,81.5,30.2,---,---
2024/07/04 01:26:35,233.7,229.7,50.0,17,81.4,30.2,---,---
2024/07/04 01:31:35,233.8,229.4,50.0,17,81.4,30.2,---,---
2024/07/04 01:36:34,234.0,230.2,50.0,17,81.4,30.2,---,---
2024/07/04 01:41:34,234.2,229.8,49.9,17,81.4,30.2,---,---
2024/07/04 01:46:36,234.0,229.9,49.9,17,81.6,30.2,---,---
2024/07/04 01:51:36,230.4,229.9,50.0,17,81.4,29.7,---,---
2024/07/04 01:56:36,231.2,229.8,50.0,17,81.6,29.7,---,---
2024/07/04 02:01:36,231.5,229.4,50.0,17,81.6,29.7,---,---
2024/07/04 02:06:36,232.0,229.5,49.9,17,81.4,29.7,---,---
2024/07/04 02:11:36,232.5,229.4,50.0,17,81.4,29.9,---,---
2024/07/04 02:16:36,231.9,229.5,49.9,17,81.4,29.9,---,---
2024/07/04 02:21:35,232.4,230.1,50.0,17,81.4,29.9,---,---
2024/07/04 02:26:37,232.8,229.8,50.0,17,81.5,30.2,---,---
2024/07/04 02:31:37,232.9,229.7,50.0,17,81.5,30.2,---,---
2024/07/04 02:36:37,232.7,230.0,50.0,17,81.4,30.2,---,---
2024/07/04 02:41:37,232.7,229.9,50.0,16,81.4,30.2,---,---
2024/07/04 02:46:37,233.2,230.2,50.0,17,81.5,29.8,---,---
