Time,InputVolt1(V),OutputVolt1(V),OutputFreq(Hz),Load(%),BatteryVolt(V),Temp.(Degree),EMD temp.(Degree),EMD humidity(%)
2024/06/21 00:02:03,228.1,229.9,49.9,18,81.1,33.3,---,---
2024/06/21 00:07:05,228.9,230.0,50.0,18,81.1,33.1,---,---
2024/06/21 00:12:05,231.0,230.1,50.0,11,81.1,33.1,---,---
2024/06/21 00:17:04,230.9,229.5,50.0,17,81.1,33.1,---,---
2024/06/21 00:22:04,230.5,229.7,50.0,18,81.1,33.1,---,---
2024/06/21 00:27:06,231.5,229.5,50.0,17,81.1,33.1,---,---
2024/06/21 00:32:05,231.1,229.7,50.0,18,81.1,33.1,---,---
2024/06/21 00:37:05,231.3,229.8,50.0,17,81.1,33.1,---,---
2024/06/21 00:42:07,233.1,229.9,50.0,17,81.1,33.1,---,---
2024/06/21 00:47:09,233.7,229.8,50.0,17,81.1,33.1,---,---
2024/06/21 00:52:09,232.9,229.9,50.0,18,81.2,33.1,---,---
2024/06/21 00:57:09,233.9,229.6,50.0,18,81.2,33.1,---,---
2024/06/21 01:02:08,232.8,229.8,50.0,17,81.1,33.1,---,---
2024/06/21 01:07:08,233.8,229.8,50.0,18,81.1,33.0,---,---
2024/06/21 01:12:10,231.0,230.0,50.1,18,81.1,33.0,---,---
2024/06/21 01:17:09,231.7,229.7,50.0,17,81.1,33.0,---,---
2024/06/21 01:22:10,231.8,230.1,50.0,17,81.1,33.0,---,---
2024/06/21 01:27:09,232.0,229.5,50.0,17,81.1,33.0,---,---
2024/06/21 01:32:09,232.2,230.2,50.0,18,81.1,32.9,---,---
2024/06/21 01:37:11,231.2,229.3,50.0,18,81.1,32.7,---,---
2024/06/21 01:42:11,231.7,230.2,50.0,18,81.1,32.7,---,---
2024/06/21 01:47:10,232.4,230.5,50.0,17,81.1,32.7,---,---
2024/06/21 01:52:10,232.3,229.5,50.0,17,81.1,32.7,---,---
2024/06/21 01:57:12,232.3,229.5,50.0,17,81.1,32.7,---,---
2024/06/21 02:02:11,232.2,229.7,50.0,18,81.1,32.7,---,---
2024/06/21 02:07:11,231.9,229.9,50.0,17,81.1,32.8,---,---
2024/06/21 02:12:13,232.6,229.3,50.0,18,81.1,32.8,---,---
2024/06/21 02:17:13,232.1,229.5,50.0,18,81.1,32.8,---,---
2024/06/21 02:22:12,231.4,229.8,50.0,17,81.1,32.8,---,---
2024/06/21 02:27:14,231.9,230.1,50.0,17,81.1,32.5,---,---
2024/06/21 02:32:16,231.6,229.6,50.0,17,81.1,32.5,---,---
2024/06/21 02:37:15,231.7,229.9,50.0,17,81.1,32.3,---,---
2024/06/21 02:42:15,231.5,230.1,50.0,18,81.1,32.3,---,---
2024/06/21 02:47:17,232.2,230.0,50.0,18,81.2,32.2,---,---
2024/06/21 02:52:16,232.2,229.8,50.0,18,81.2,32.1,---,---
2024/06/21 02:57:16,233.1,229.5,50.0,17,81.2,32.1,---,---
2024/06/21 03:02:18,232.1,230.0,49.9,18,81.2,32.1,---,---
2024/06/21 03:07:20,231.7,229.7,49.9,18,81.2,32.0,---,---
2024/06/21 03:12:19,231.9,229.8,50.0,18,81.2,32.0,---,---
2024/06/21 03:17:19,232.7,229.5,50.0,17,81.2,32.0,---,---
2024/06/21 03:22:21,233.0,229.8,50.0,17,81.2,31.8,---,---
2024/06/21 03:27:20,233.0,229.7,50.0,18,81.3,31.7,---,---
2024/06/21 03:32:20,231.8,229.7,50.0,17,81.3,31.7,---,---
2024/06/21 03:37:22,231.9,229.7,50.0,18,81.3,31.6,---,---
2024/06/21 03:42:21,233.1,229.5,50.0,17,81.3,31.2,---,---
2024/06/21 03:47:21,233.2,229.7,50.0,17,81.3,31.2,---,---
2024/06/21 03:52:23,232.6,229.7,50.0,18,81.3,31.0,---,---
2024/06/21 03:57:25,233.0,229.8,50.0,18,81.3,31.0,---,---
2024/06/21 04:02:25,233.6,229.7,50.0,18,81.3,31.0,---,---
2024/06/21 04:07:24,232.5,230.1,50.0,18,81.3,31.0,---,---
2024/06/21 04:12:26,232.4,229.5,50.0,18,81.4,30.7,---,---
2024/06/21 04:17:26,232.4,229.7,50.0,18,81.3,30.7,---,---
2024/06/21 04:22:25,232.5,229.8,50.0,18,81.5,30.7,---,---
2024/06/21 04:27:25,231.9,229.8,50.0,17,81.3,30.7,---,---
2024/06/21 04:32:27,231.8,229.8,50.0,17,81.4,31.0,---,---
2024/06/21 04:37:27,231.2,229.7,50.0,17,81.4,30.7,---,---
2024/06/21 04:42:26,230.9,229.6,50.0,17,81.4,30.7,---,---
2024/06/21 04:47:28,231.0,229.7,50.0,17,81.4,30.7,---,---
2024/06/21 04:52:27,230.4,230.2,50.0,17,81.4,30.7,---,---
2024/06/21 04:57:27,230.7,229.2,50.0,18,81.4,30.7,---,---
2024/06/21 05:02:29,230.1,230.0,50.0,18,81.4,30.7,---,---
2024/06/21 05:07:28,229.6,229.8,50.0,17,81.4,30.7,---,---
2024/06/21 05:12:28,230.7,229.6,50.0,16,81.3,30.8,---,---
2024/06/21 05:17:30,229.9,229.2,50.0,17,81.4,30.5,---,---
2024/06/21 05:22:29,227.7,229.3,50.0,17,81.4,30.5,---,---
2024/06/21 05:27:29,228.9,229.4,49.9,18,81.4,30.5,---,---
2024/06/21 05:32:31,229.2,229.2,50.0,17,81.5,30.5,---,---
2024/06/21 05:37:33,229.0,229.5,49.9,17,81.4,30.2,---,---
2024/06/21 05:42:33,229.9,230.0,49.9,17,81.4,30.5,---,---
2024/06/21 05:47:32,231.4,229.5,50.0,18,81.4,30.5,---,---
2024/06/21 05:52:34,231.2,230.2,49.9,18,81.4,30.5,---,---
2024/06/21 05:57:33,230.8,229.7,50.0,17,81.4,30.5,---,---
2024/06/21 06:02:33,230.6,230.1,50.0,18,81.4,30.2,---,---
2024/06/21 06:07:35,230.4,230.3,49.9,17,81.4,30.5,---,---
2024/06/21 06:12:37,231.8,229.5,49.9,17,81.4,30.5,---,---
2024/06/21 06:17:37,232.5,229.3,50.0,17,81.4,30.5,---,---
2024/06/21 06:22:37,231.2,230.0,49.9,18,81.4,30.7,---,---
2024/06/21 06:27:38,231.8,229.6,49.9,17,81.3,30.8,---,---
2024/06/21 06:32:38,232.2,229.9,49.9,18,81.4,30.7,---,---
2024/06/21 06:37:40,232.5,229.7,49.9,18,81.3,31.0,---,---
2024/06/21 06:42:39,232.3,229.7,50.0,17,81.3,31.2,---,---
2024/06/21 06:47:41,232.0,229.9,50.0,18,81.3,31.3,---,---
2024/06/21 06:52:43,232.1,230.1,50.0,17,81.3,31.5,---,---
2024/06/21 06:57:45,231.5,230.2,50.0,18,81.3,31.6,---,---
2024/06/21 07:02:44,231.8,229.4,49.9,17,81.2,31.8,---,---
2024/06/21 07:07:46,232.2,229.5,49.9,18,81.2,32.1,---,---
2024/06/21 07:12:48,232.2,229.4,49.9,18,81.2,32.3,---,---
2024/06/21 07:17:50,230.9,229.7,49.9,17,81.1,32.9,---,---
2024/06/21 07:22:49,231.4,230.0,49.9,18,81.1,33.1,---,---
2024/06/21 07:27:49,231.5,229.9,50.0,17,81.1,33.6,---,---
2024/06/21 07:32:51,230.5,229.6,49.9,17,81.2,33.6,---,---
2024/06/21 07:37:50,231.1,229.7,49.9,18,80.9,34.1,---,---
2024/06/21 07:42:50,231.0,229.9,49.9,18,80.9,34.5,---,---
2024/06/21 07:47:52,229.6,229.6,49.8,18,80.8,35.3,---,---
2024/06/21 07:52:54,230.4,229.7,49.9,17,80.8,35.6,---,---
2024/06/21 07:57:53,231.0,229.8,50.0,18,80.8,35.6,---,---
2024/06/21 08:02:53,230.4,230.1,50.0,18,80.9,35.3,---,---
2024/06/21 08:07:55,229.3,229.5,49.9,17,80.9,35.3,---,---
2024/06/21 08:12:54,230.9,230.3,49.9,18,80.9,35.3,---,---
2024/06/21 08:17:54,230.0,229.7,50.0,17,80.9,35.3,---,---
2024/06/21 08:22:56,229.0,229.5,49.9,17,80.9,35.3,---,---
2024/06/21 08:27:55,231.5,230.2,50.0,17,80.8,35.6,---,---
2024/06/21 08:32:57,230.8,229.8,49.9,17,80.8,35.9,---,---
2024/06/21 08:37:59,230.4,229.5,50.0,18,80.6,36.8,---,---
2024/06/21 08:43:01,230.8,230.1,50.0,17,80.7,36.8,---,---
2024/06/21 08:48:00,229.4,229.9,50.0,18,80.6,36.8,---,---
2024/06/21 08:53:02,228.6,230.0,49.9,18,80.7,36.5,---,---
2024/06/21 08:58:02,229.5,229.6,50.0,18,80.6,36.5,---,---
2024/06/21 09:03:01,229.1,229.4,49.9,18,80.6,36.5,---,---
2024/06/21 09:08:03,229.2,229.6,50.0,18,80.6,36.3,---,---
2024/06/21 09:13:03,229.7,229.3,50.0,17,80.6,36.3,---,---
2024/06/21 09:18:02,231.2,229.7,50.0,17,80.6,36.5,---,---
2024/06/21 09:23:02,232.1,230.3,50.0,18,80.6,36.5,---,---
2024/06/21 09:28:04,230.4,229.5,50.0,19,80.6,36.8,---,---
2024/06/21 09:33:06,230.7,229.9,50.1,17,80.6,37.2,---,---
2024/06/21 09:38:05,230.6,229.4,50.0,19,80.6,37.3,---,---
2024/06/21 09:43:05,230.0,229.8,50.0,17,80.6,37.5,---,---
2024/06/21 09:48:07,229.9,230.1,50.0,18,80.6,37.5,---,---
2024/06/21 09:53:06,230.2,229.7,50.0,18,80.6,37.6,---,---
2024/06/21 09:58:08,230.3,229.8,50.0,18,80.6,37.8,---,---
2024/06/21 10:03:10,230.3,230.2,50.1,18,80.6,37.9,---,---
2024/06/21 10:08:09,230.3,230.0,49.9,17,80.6,37.8,---,---
2024/06/21 10:13:11,231.2,229.9,49.8,18,80.5,38.1,---,---
2024/06/21 10:18:11,231.2,230.1,49.9,19,80.5,38.1,---,---
2024/06/21 10:23:13,232.9,229.9,49.8,18,80.5,38.5,---,---
2024/06/21 10:28:12,231.8,230.1,50.0,18,80.4,38.9,---,---
2024/06/21 10:33:12,232.1,229.9,50.0,18,80.4,39.2,---,---
2024/06/21 10:38:14,232.4,230.0,50.0,18,80.4,39.5,---,---
2024/06/21 10:43:14,232.8,230.1,50.0,17,80.4,39.7,---,---
2024/06/21 10:48:13,234.2,230.3,50.0,18,80.3,40.0,---,---
2024/06/21 10:53:15,233.3,229.8,50.0,19,80.4,40.1,---,---
2024/06/21 10:58:17,233.6,229.3,50.0,18,80.3,40.1,---,---
2024/06/21 11:03:12,232.6,229.8,50.0,19,80.3,40.0,---,---
2024/06/21 11:08:12,233.1,229.8,50.0,18,80.3,39.6,---,---
2024/06/21 11:13:13,233.0,229.7,50.0,17,80.3,39.3,---,---
2024/06/21 11:18:13,233.5,229.4,50.0,17,80.3,38.9,---,---
2024/06/21 11:23:13,233.5,229.8,50.1,18,80.4,38.8,---,---
2024/06/21 11:28:13,233.9,230.5,50.1,18,80.5,38.5,---,---
2024/06/21 11:33:14,234.1,230.3,50.1,17,80.5,38.5,---,---
2024/06/21 11:38:14,233.3,229.8,50.1,18,80.5,38.5,---,---
2024/06/21 11:43:16,232.7,229.5,50.0,17,80.5,38.5,---,---
2024/06/21 11:48:16,233.5,229.8,50.0,17,80.5,38.5,---,---
2024/06/21 11:53:17,233.0,229.9,50.1,19,80.5,38.5,---,---
2024/06/21 11:58:17,233.0,230.1,50.0,19,80.4,38.8,---,---
2024/06/21 12:03:17,233.3,229.7,50.1,18,80.5,38.9,---,---
2024/06/21 12:08:18,233.1,230.0,50.2,18,80.3,39.3,---,---
2024/06/21 12:13:18,233.1,229.7,50.0,18,80.3,39.7,---,---
2024/06/21 12:18:20,231.3,229.9,50.1,18,80.3,40.0,---,---
2024/06/21 12:23:20,232.1,229.9,50.0,17,80.3,39.5,---,---
2024/06/21 12:28:20,232.3,229.8,50.0,18,80.4,39.3,---,---
2024/06/21 12:33:21,232.0,229.8,50.0,17,80.4,39.3,---,---
2024/06/21 12:38:21,232.1,229.9,50.0,17,80.4,39.3,---,---
2024/06/21 12:43:21,232.0,229.4,50.0,17,80.4,39.5,---,---
2024/06/21 12:48:21,232.3,229.7,50.0,19,80.3,40.5,---,---
2024/06/21 12:53:22,232.3,229.7,50.1,18,80.2,41.3,---,---
2024/06/21 12:58:22,233.6,230.0,50.1,18,80.2,41.8,---,---
2024/06/21 13:03:22,233.4,229.5,50.3,18,80.0,41.6,---,---
2024/06/21 13:08:24,232.8,229.5,50.2,17,80.0,42.5,---,---
