Time,InputVolt1(V),OutputVolt1(V),OutputFreq(Hz),Load(%),BatteryVolt(V),Temp.(Degree),EMD temp.(Degree),EMD humidity(%)
2024/07/05 00:03:03,233.4,229.4,50.0,16,81.1,32.8,---,---
2024/07/05 00:08:02,232.8,229.9,50.0,17,81.1,32.8,---,---
2024/07/05 00:13:04,233.8,229.5,50.0,12,81.1,32.5,---,---
2024/07/05 00:18:04,232.3,229.2,50.0,17,81.2,32.5,---,---
2024/07/05 00:23:06,231.1,229.4,50.0,17,81.2,32.5,---,---
2024/07/05 00:28:08,232.8,229.7,49.9,17,81.1,32.5,---,---
2024/07/05 00:33:08,233.0,229.7,50.0,17,81.1,32.5,---,---
2024/07/05 00:38:08,231.9,230.2,50.0,17,81.1,32.5,---,---
2024/07/05 00:43:08,232.4,230.1,50.0,16,81.1,32.5,---,---
2024/07/05 00:48:08,232.3,230.2,50.0,17,81.2,32.5,---,---
2024/07/05 00:53:08,231.1,229.7,50.0,17,81.2,32.5,---,---
2024/07/05 00:58:08,232.6,229.2,50.0,17,81.2,32.5,---,---
2024/07/05 01:03:08,232.5,229.6,50.0,17,81.1,32.5,---,---
2024/07/05 01:08:08,233.5,229.8,50.0,17,81.1,32.5,---,---
2024/07/05 01:13:08,232.9,229.9,50.0,17,81.1,32.5,---,---
2024/07/05 01:18:08,233.4,229.5,50.0,17,81.2,32.3,---,---
2024/07/05 01:23:09,233.8,229.6,50.1,17,81.1,32.3,---,---
2024/07/05 01:28:10,234.1,229.9,50.0,17,81.3,32.3,---,---
2024/07/05 01:33:11,234.2,230.2,50.0,17,81.1,32.3,---,---
2024/07/05 01:38:12,232.0,229.8,50.0,18,81.2,32.3,---,---
2024/07/05 01:43:11,233.9,230.2,50.0,17,81.2,32.5,---,---
2024/07/05 01:48:12,234.2,230.0,50.0,17,81.1,32.5,---,---
2024/07/05 01:53:12,234.1,229.4,50.0,17,81.1,32.5,---,---
2024/07/05 01:58:11,234.2,230.0,50.0,16,81.2,32.3,---,---
2024/07/05 02:03:13,233.1,229.4,50.0,17,81.2,32.3,---,---
2024/07/05 02:08:15,232.8,229.7,50.0,17,81.1,32.3,---,---
2024/07/05 02:13:16,233.1,229.7,50.0,18,81.2,32.5,---,---
2024/07/05 02:18:15,233.2,229.9,49.9,17,81.1,32.5,---,---
2024/07/05 02:23:15,233.1,229.3,50.0,17,81.1,32.3,---,---
2024/07/05 02:28:15,233.6,230.0,50.0,16,81.1,32.3,---,---
2024/07/05 02:33:15,233.8,230.3,49.9,16,81.2,32.3,---,---
2024/07/05 02:38:17,234.0,229.6,50.0,16,81.2,32.3,---,---
2024/07/05 02:43:18,233.5,229.6,49.9,17,81.3,32.2,---,---
2024/07/05 02:48:17,234.2,229.3,50.0,17,81.2,32.2,---,---
