Time,InputVolt1(V),OutputVolt1(V),OutputFreq(Hz),Load(%),BatteryVolt(V),Temp.(Degree),EMD temp.(Degree),EMD humidity(%)
2024/07/02 00:03:06,232.6,229.9,50.0,18,80.9,34.4,---,---
2024/07/02 00:08:06,232.4,229.9,50.0,19,80.9,34.4,---,---
2024/07/02 00:13:06,233.7,229.8,50.0,12,80.9,34.4,---,---
2024/07/02 00:18:07,233.6,230.1,50.0,17,80.9,34.4,---,---
2024/07/02 00:23:07,232.7,230.0,50.0,18,80.9,34.4,---,---
2024/07/02 00:28:07,233.6,229.5,50.0,17,80.9,34.4,---,---
2024/07/02 00:33:07,233.6,229.9,50.0,18,80.9,34.4,---,---
2024/07/02 00:38:08,233.6,229.5,50.1,18,80.9,34.4,---,---
2024/07/02 00:43:09,233.2,230.1,50.0,17,80.9,34.2,---,---
2024/07/02 00:48:10,233.0,230.0,50.0,18,80.9,34.2,---,---
2024/07/02 00:53:12,233.8,229.8,50.0,18,80.9,34.2,---,---
2024/07/02 00:58:12,234.1,229.6,50.0,18,81.0,34.2,---,---
2024/07/02 01:03:12,233.0,229.7,50.0,17,80.9,34.2,---,---
2024/07/02 01:08:12,234.1,229.7,50.0,18,80.9,34.2,---,---
2024/07/02 01:13:12,233.6,229.4,50.0,17,80.9,34.2,---,---
2024/07/02 01:18:12,231.8,230.0,50.0,18,81.1,34.1,---,---
2024/07/02 01:23:12,232.8,230.3,50.1,18,80.9,34.2,---,---
2024/07/02 01:28:11,232.2,229.9,50.0,18,81.1,34.2,---,---
2024/07/02 01:33:11,232.3,229.5,50.0,18,81.0,34.2,---,---
2024/07/02 01:38:13,233.4,229.5,49.9,18,81.1,34.1,---,---
2024/07/02 01:43:13,234.4,229.9,50.0,18,81.0,34.1,---,---
2024/07/02 01:48:13,233.9,230.1,49.9,18,80.9,34.1,---,---
2024/07/02 01:53:13,234.7,230.0,50.0,17,80.9,34.0,---,---
2024/07/02 01:58:14,234.1,229.7,50.0,17,80.9,33.9,---,---
2024/07/02 02:03:14,233.5,229.5,50.0,18,80.9,33.9,---,---
2024/07/02 02:08:16,232.4,230.0,50.0,18,80.9,33.8,---,---
2024/07/02 02:13:16,232.5,229.7,50.0,17,81.0,33.8,---,---
2024/07/02 02:18:16,232.2,229.3,50.0,17,81.0,33.9,---,---
2024/07/02 02:23:16,229.3,229.7,50.0,18,81.0,33.6,---,---
2024/07/02 02:28:16,230.1,230.1,50.0,17,80.9,33.6,---,---
2024/07/02 02:33:16,229.9,229.9,50.0,17,80.9,33.6,---,---
2024/07/02 02:38:17,229.2,229.4,50.0,17,81.0,33.6,---,---
2024/07/02 02:43:17,230.2,229.5,50.1,18,80.9,33.6,---,---
2024/07/02 02:48:17,230.6,229.6,50.0,18,80.9,33.6,---,---
2024/07/02 02:53:16,230.9,229.7,50.0,18,80.9,33.6,---,---
2024/07/02 02:58:18,231.1,229.8,50.0,17,81.0,33.6,---,---
2024/07/02 03:03:20,229.9,230.0,50.0,18,81.0,33.6,---,---
2024/07/02 03:08:20,229.8,229.9,50.0,18,81.0,33.6,---,---
2024/07/02 03:13:20,230.1,230.2,50.1,17,81.0,33.6,---,---
2024/07/02 03:18:20,228.5,230.0,50.0,18,80.9,33.6,---,---
