Time,InputVolt1(V),OutputVolt1(V),OutputFreq(Hz),Load(%),BatteryVolt(V),Temp.(Degree),EMD temp.(Degree),EMD humidity(%)
2024/06/22 00:04:12,231.8,229.2,49.9,17,81.1,32.8,---,---
2024/06/22 00:09:12,230.5,229.7,50.0,18,81.1,32.5,---,---
2024/06/22 00:14:12,231.4,229.9,50.1,17,81.2,32.5,---,---
2024/06/22 00:19:14,230.2,229.9,50.1,18,81.1,32.5,---,---
2024/06/22 00:24:15,231.1,229.7,50.0,18,81.1,32.5,---,---
2024/06/22 00:29:15,231.1,229.3,50.0,18,81.1,32.5,---,---
2024/06/22 00:34:16,230.7,229.9,50.1,17,81.1,32.5,---,---
2024/06/22 00:39:16,231.2,229.9,50.0,18,81.1,32.5,---,---
2024/06/22 00:44:16,231.7,229.9,50.0,17,81.1,32.3,---,---
2024/06/22 00:49:17,232.3,229.6,50.0,17,81.1,32.3,---,---
2024/06/22 00:54:17,233.1,229.7,50.0,18,81.1,32.3,---,---
2024/06/22 00:59:17,232.9,229.4,50.1,17,81.1,32.3,---,---
2024/06/22 01:04:18,233.3,229.8,50.0,18,81.2,32.2,---,---
2024/06/22 01:09:18,232.3,229.5,50.0,18,81.2,32.2,---,---
2024/06/22 01:14:18,232.7,229.8,50.0,18,81.2,32.2,---,---
2024/06/22 01:19:20,231.9,229.5,50.0,18,81.2,32.1,---,---
2024/06/22 01:24:19,231.8,229.7,50.0,17,81.2,32.0,---,---
2024/06/22 01:29:19,232.6,229.9,50.0,17,81.2,32.0,---,---
2024/06/22 01:34:19,232.6,230.2,50.0,17,81.2,32.0,---,---
2024/06/22 01:39:20,232.1,229.6,50.0,18,81.2,31.8,---,---
2024/06/22 01:44:20,232.8,229.8,50.0,17,81.2,31.8,---,---
2024/06/22 01:49:20,233.8,229.6,50.0,17,81.2,31.8,---,---
2024/06/22 01:54:22,233.9,230.1,50.0,18,81.2,31.8,---,---
2024/06/22 01:59:23,233.8,229.9,50.0,17,81.3,31.7,---,---
2024/06/22 02:04:23,230.7,229.8,50.1,18,81.3,31.7,---,---
2024/06/22 02:09:25,231.3,229.7,50.0,18,81.3,31.7,---,---
2024/06/22 02:14:26,231.4,229.9,50.0,17,81.3,31.7,---,---
2024/06/22 02:19:26,231.0,229.6,50.0,17,81.3,31.6,---,---
2024/06/22 02:24:26,231.0,229.6,50.0,18,81.3,31.6,---,---
2024/06/22 02:29:28,231.0,229.4,50.1,18,81.2,31.6,---,---
2024/06/22 02:34:29,230.4,229.6,50.0,18,81.3,31.6,---,---
2024/06/22 02:39:29,230.7,229.6,50.0,17,81.3,31.6,---,---
2024/06/22 02:44:29,230.9,230.0,50.0,18,81.3,31.5,---,---
2024/06/22 02:49:30,231.1,229.6,50.0,18,81.2,31.5,---,---
2024/06/22 02:54:30,231.7,229.6,50.0,18,81.2,31.5,---,---
2024/06/22 02:59:30,232.1,230.4,50.1,18,81.3,31.5,---,---
2024/06/22 03:04:30,230.9,229.2,50.0,18,81.3,31.2,---,---
2024/06/22 03:09:30,230.5,229.6,50.0,18,81.3,31.3,---,---
2024/06/22 03:14:31,230.6,229.8,50.0,18,81.3,31.3,---,---
2024/06/22 03:19:31,231.4,229.9,50.1,18,81.3,31.2,---,---
2024/06/22 03:24:31,231.0,229.7,50.0,16,81.3,31.2,---,---
2024/06/22 03:29:32,230.6,230.1,50.1,17,81.3,31.2,---,---
2024/06/22 03:34:32,231.0,230.0,50.1,18,81.3,31.0,---,---
2024/06/22 03:39:32,230.9,229.5,50.1,17,81.3,31.0,---,---
2024/06/22 03:44:34,231.2,229.6,50.1,17,81.3,31.0,---,---
2024/06/22 03:49:35,230.3,229.8,50.0,18,81.3,31.0,---,---
2024/06/22 03:54:35,231.5,229.4,50.1,18,81.4,31.0,---,---
2024/06/22 03:59:35,230.7,230.0,50.0,18,81.4,30.7,---,---
2024/06/22 04:04:35,229.6,229.6,50.0,18,81.4,30.7,---,---
2024/06/22 04:09:36,229.9,229.7,49.9,17,81.4,30.7,---,---
2024/06/22 04:14:36,229.7,230.3,49.9,17,81.4,30.8,---,---
2024/06/22 04:19:36,229.2,229.3,49.9,17,81.4,30.7,---,---
2024/06/22 04:24:37,229.6,229.4,49.9,18,81.4,30.8,---,---
2024/06/22 04:29:37,228.6,229.5,49.9,17,81.4,30.8,---,---
2024/06/22 04:34:37,229.4,229.7,49.9,17,81.4,30.7,---,---
2024/06/22 04:39:39,229.6,229.3,49.9,17,81.4,30.5,---,---
2024/06/22 04:44:38,229.6,229.8,50.0,18,81.5,30.5,---,---
2024/06/22 04:49:38,229.4,229.8,50.0,18,81.4,30.5,---,---
2024/06/22 04:54:40,228.8,229.8,49.9,17,81.5,30.5,---,---
2024/06/22 04:59:41,228.0,230.0,50.0,18,81.5,30.5,---,---
2024/06/22 05:04:41,228.4,229.6,50.0,17,81.4,30.2,---,---
2024/06/22 05:09:41,231.0,229.8,49.9,18,81.4,30.2,---,---
2024/06/22 05:14:42,231.2,230.0,50.0,18,81.4,30.2,---,---
2024/06/22 05:19:42,231.5,229.6,50.0,17,81.4,30.2,---,---
2024/06/22 05:24:42,230.9,229.8,49.9,17,81.5,30.2,---,---
2024/06/22 05:29:42,231.4,229.9,50.0,18,81.4,30.5,---,---
2024/06/22 05:34:44,230.7,230.2,49.9,18,81.4,30.5,---,---
2024/06/22 05:39:45,232.5,229.8,49.9,17,81.4,30.5,---,---
2024/06/22 05:44:45,231.1,229.6,50.0,17,81.4,30.5,---,---
2024/06/22 05:49:47,232.5,230.0,50.1,17,81.5,30.5,---,---
2024/06/22 05:54:48,233.9,229.3,50.0,18,81.4,30.7,---,---
2024/06/22 05:59:48,233.6,229.7,50.0,17,81.5,30.7,---,---
2024/06/22 06:04:50,233.6,230.1,50.0,18,81.3,31.1,---,---
2024/06/22 06:09:52,234.1,229.6,50.0,17,81.3,31.2,---,---
2024/06/22 06:14:53,231.2,229.2,50.0,18,81.4,31.2,---,---
2024/06/22 06:19:53,231.0,229.7,50.0,17,81.3,31.5,---,---
