Time,InputVolt1(V),OutputVolt1(V),OutputFreq(Hz),Load(%),BatteryVolt(V),Temp.(Degree),EMD temp.(Degree),EMD humidity(%)
2024/07/03 00:04:45,232.4,229.7,50.0,18,81.4,29.9,---,---
2024/07/03 00:09:45,232.5,229.9,50.0,12,81.4,29.8,---,---
2024/07/03 00:14:47,231.7,229.6,49.9,17,81.5,29.5,---,---
2024/07/03 00:19:49,231.7,229.5,49.9,17,81.5,29.5,---,---
2024/07/03 00:24:49,232.3,229.8,50.0,18,81.5,29.4,---,---
2024/07/03 00:29:49,232.1,229.3,50.0,17,81.5,29.5,---,---
2024/07/03 00:34:51,233.0,229.7,49.9,18,81.5,29.8,---,---
2024/07/03 00:39:50,232.2,229.9,49.9,18,81.3,29.7,---,---
2024/07/03 00:44:50,231.3,230.0,49.9,18,81.4,29.9,---,---
2024/07/03 00:49:50,232.6,229.9,49.9,17,81.4,29.9,---,---
2024/07/03 00:54:52,232.6,230.1,50.0,18,81.4,29.9,---,---
2024/07/03 00:59:54,233.5,229.6,49.9,17,81.4,29.9,---,---
2024/07/03 01:04:53,233.0,229.9,49.9,17,81.4,29.9,---,---
2024/07/03 01:09:53,233.6,229.8,50.0,17,81.4,29.9,---,---
2024/07/03 01:14:55,233.9,229.7,49.9,18,81.4,29.9,---,---
2024/07/03 01:19:55,233.9,229.5,49.9,18,81.4,29.9,---,---
2024/07/03 01:24:57,233.2,229.6,49.9,18,81.4,30.2,---,---
2024/07/03 01:29:56,233.8,229.9,49.9,17,81.4,30.2,---,---
2024/07/03 01:34:57,233.6,229.6,49.9,18,81.4,30.2,---,---
2024/07/03 01:39:56,233.4,229.9,49.9,18,81.4,30.2,---,---
2024/07/03 01:44:56,233.0,229.9,49.8,17,81.4,30.5,---,---
2024/07/03 01:49:56,232.0,229.8,49.7,18,81.5,30.2,---,---
2024/07/03 01:54:58,232.7,230.0,49.8,17,81.4,30.5,---,---
2024/07/03 01:59:58,233.1,229.5,49.9,18,81.5,30.2,---,---
2024/07/03 02:05:00,232.3,230.0,50.0,18,81.5,30.2,---,---
2024/07/03 02:09:59,234.1,229.1,49.9,17,81.5,30.2,---,---
2024/07/03 02:14:59,234.4,229.9,50.0,18,81.4,29.8,---,---
2024/07/03 02:19:59,229.9,229.9,50.0,18,81.5,29.2,---,---
2024/07/03 02:25:01,230.3,229.6,50.0,17,81.6,28.8,---,---
2024/07/03 02:30:03,230.6,229.2,50.0,17,81.7,28.2,---,---
2024/07/03 02:35:03,230.1,229.6,49.9,18,81.7,28.1,---,---
2024/07/03 02:40:03,230.4,229.9,49.9,18,81.7,28.1,---,---
2024/07/03 02:45:02,231.1,230.0,50.0,18,81.7,28.1,---,---
2024/07/03 02:50:02,231.1,230.0,50.0,18,81.8,27.8,---,---
2024/07/03 02:55:04,231.1,230.0,50.1,17,81.7,27.8,---,---
2024/07/03 03:00:04,230.9,229.4,50.0,17,81.7,27.8,---,---
2024/07/03 03:05:03,233.1,229.7,50.0,17,81.7,27.8,---,---
2024/07/03 03:10:03,233.2,229.8,50.0,17,81.8,28.1,---,---
2024/07/03 03:15:05,232.8,229.6,50.0,17,81.7,27.9,---,---
2024/07/03 03:20:05,233.9,230.0,50.0,18,81.6,28.2,---,---
2024/07/03 03:25:04,233.2,230.1,50.0,17,81.8,28.3,---,---
2024/07/03 03:30:04,234.1,229.5,50.0,18,81.7,28.4,---,---
2024/07/03 03:35:06,233.3,230.0,50.0,17,81.6,28.5,---,---
2024/07/03 03:40:06,234.0,229.8,50.0,17,81.8,28.8,---,---
2024/07/03 03:45:06,233.2,230.0,50.0,17,81.6,28.7,---,---
2024/07/03 03:50:06,234.0,229.7,50.0,17,81.5,28.7,---,---
