Time,InputVolt1(V),OutputVolt1(V),OutputFreq(Hz),Load(%),BatteryVolt(V),Temp.(Degree),EMD temp.(Degree),EMD humidity(%)
2024/05/30 00:02:47,234.0,230.0,50.0,18,82.4,38.1,---,---
2024/05/30 00:07:47,234.0,229.8,50.0,16,82.4,37.8,---,---
2024/05/30 00:12:48,233.9,229.9,50.0,12,82.4,37.7,---,---
2024/05/30 00:17:48,232.5,229.8,50.0,17,82.4,37.7,---,---
2024/05/30 00:22:49,233.5,229.8,50.0,17,82.4,37.8,---,---
2024/05/30 00:27:51,233.8,230.1,50.0,17,82.4,37.7,---,---
2024/05/30 00:32:51,234.1,230.0,50.0,17,82.4,37.8,---,---
2024/05/30 00:37:52,234.3,229.8,49.9,17,82.4,37.8,---,---
2024/05/30 00:42:54,232.2,229.8,50.0,17,82.4,37.8,---,---
2024/05/30 00:47:54,232.5,230.0,50.0,16,82.4,37.7,---,---
2024/05/30 00:52:54,232.9,229.7,50.0,17,82.4,37.6,---,---
2024/05/30 00:57:53,232.4,229.9,50.0,17,82.4,37.6,---,---
2024/05/30 01:02:53,233.3,229.6,50.0,17,82.4,37.6,---,---
2024/05/30 01:07:55,233.3,229.8,50.0,17,82.4,37.7,---,---
2024/05/30 01:12:55,233.8,230.0,50.0,16,82.4,37.6,---,---
2024/05/30 01:17:56,232.7,229.7,49.9,17,82.4,37.6,---,---
2024/05/30 01:22:56,232.8,229.7,50.0,17,82.4,37.5,---,---
2024/05/30 01:27:56,233.5,229.7,49.9,17,82.4,37.3,---,---
2024/05/30 01:32:57,233.1,229.3,49.9,17,82.4,37.2,---,---
2024/05/30 01:37:57,233.7,229.5,50.0,16,82.4,37.1,---,---
2024/05/30 01:42:57,233.0,230.0,50.0,17,82.4,37.1,---,---
2024/05/30 01:47:58,233.5,229.8,49.9,17,82.4,36.9,---,---
2024/05/30 01:52:58,233.6,229.9,50.0,16,82.4,36.7,---,---
2024/05/30 01:57:59,233.7,229.6,50.0,16,82.4,36.5,---,---
2024/05/30 02:02:59,233.5,229.7,49.9,17,82.4,36.5,---,---
2024/05/30 02:07:59,233.8,230.0,49.9,16,82.4,36.3,---,---
2024/05/30 02:13:00,234.8,229.9,49.9,17,82.4,36.3,---,---
2024/05/30 02:18:02,232.4,229.9,49.9,16,82.4,36.2,---,---
2024/05/30 02:23:02,232.7,229.9,49.9,17,82.4,36.2,---,---
