Time,InputVolt1(V),OutputVolt1(V),OutputFreq(Hz),Load(%),BatteryVolt(V),Temp.(Degree),EMD temp.(Degree),EMD humidity(%)
2024/06/27 00:04:32,230.9,229.3,50.0,18,81.0,34.0,---,---
2024/06/27 00:09:32,230.4,229.8,50.0,19,81.0,33.9,---,---
2024/06/27 00:14:32,230.6,229.3,50.0,17,81.0,33.8,---,---
2024/06/27 00:19:33,230.5,229.6,50.0,18,81.1,33.8,---,---
2024/06/27 00:24:34,230.4,229.8,50.0,18,81.0,33.6,---,---
2024/06/27 00:29:35,231.3,229.4,50.1,18,81.1,33.6,---,---
2024/06/27 00:34:36,231.6,229.9,50.0,18,81.0,33.6,---,---
2024/06/27 00:39:37,231.3,229.8,50.1,18,81.0,33.4,---,---
2024/06/27 00:44:37,231.9,229.7,50.0,17,80.9,33.4,---,---
2024/06/27 00:49:37,230.9,229.7,50.0,18,81.0,33.4,---,---
2024/06/27 00:54:37,231.4,230.0,50.0,18,81.1,33.3,---,---
2024/06/27 00:59:38,231.6,229.9,50.0,18,81.1,33.1,---,---
2024/06/27 01:04:38,231.6,229.6,50.0,18,81.1,33.1,---,---
2024/06/27 01:09:38,232.3,229.8,50.0,18,81.1,33.1,---,---
2024/06/27 01:14:38,231.9,229.5,50.0,17,81.1,33.1,---,---
2024/06/27 01:19:38,232.3,229.7,50.0,18,81.1,33.1,---,---
2024/06/27 01:24:38,231.9,229.9,50.0,17,81.1,33.1,---,---
2024/06/27 01:29:38,233.3,229.8,50.0,17,81.1,33.1,---,---
2024/06/27 01:34:40,231.6,230.2,50.0,18,81.1,33.3,---,---
2024/06/27 01:39:41,231.3,230.1,50.0,18,81.1,33.3,---,---
2024/06/27 01:44:41,232.8,229.6,50.0,18,81.1,33.3,---,---
2024/06/27 01:49:41,233.5,229.9,50.0,18,81.1,33.1,---,---
2024/06/27 01:54:41,231.7,230.0,50.0,18,81.1,33.1,---,---
2024/06/27 01:59:41,232.4,229.9,50.0,17,81.1,33.3,---,---
2024/06/27 02:04:42,232.3,230.1,50.1,17,81.1,33.3,---,---
2024/06/27 02:09:42,231.6,229.7,50.0,17,81.1,33.4,---,---
2024/06/27 02:14:42,230.4,229.7,50.0,18,81.0,33.4,---,---
2024/06/27 02:19:42,231.7,229.9,50.0,18,81.1,33.3,---,---
2024/06/27 02:24:42,231.7,229.2,50.0,17,81.1,33.3,---,---
2024/06/27 02:29:43,230.8,229.9,50.0,18,81.2,33.3,---,---
2024/06/27 02:34:43,231.6,229.9,50.0,18,81.2,33.1,---,---
2024/06/27 02:39:43,232.0,229.6,50.0,18,81.1,33.1,---,---
2024/06/27 02:44:43,231.6,229.7,50.0,18,81.1,33.3,---,---
2024/06/27 02:49:43,232.1,229.9,50.0,18,81.1,33.1,---,---
2024/06/27 02:54:43,231.7,229.7,50.0,17,81.2,33.1,---,---
2024/06/27 02:59:45,231.7,229.8,50.0,18,81.2,33.1,---,---
2024/06/27 03:04:45,231.2,229.5,49.9,18,81.1,33.1,---,---
2024/06/27 03:09:47,231.6,229.6,49.9,18,81.1,33.1,---,---
2024/06/27 03:14:48,232.3,229.9,50.0,17,81.1,33.1,---,---
2024/06/27 03:19:48,230.5,229.8,50.0,18,81.1,33.1,---,---
2024/06/27 03:24:48,232.1,229.9,50.0,17,81.2,33.1,---,---
2024/06/27 03:29:49,232.2,229.3,50.0,18,81.1,33.1,---,---
2024/06/27 03:34:49,232.5,229.8,50.0,17,81.1,33.1,---,---
2024/06/27 03:39:49,232.4,229.7,50.0,18,81.1,33.0,---,---
2024/06/27 03:44:49,233.0,229.6,50.0,18,81.1,32.9,---,---
2024/06/27 03:49:49,233.1,228.9,50.0,18,81.3,32.7,---,---
2024/06/27 03:54:49,233.4,229.5,50.0,17,81.1,32.7,---,---
2024/06/27 03:59:49,232.8,229.6,50.1,17,81.1,32.7,---,---
2024/06/27 04:04:49,232.4,229.3,50.0,18,81.2,32.7,---,---
2024/06/27 04:09:49,231.9,229.5,50.0,18,81.2,32.9,---,---
2024/06/27 04:14:49,231.1,229.5,50.0,18,81.1,32.9,---,---
2024/06/27 04:19:49,232.6,229.9,50.0,18,81.1,32.9,---,---
2024/06/27 04:24:50,232.5,229.8,50.1,18,81.1,32.9,---,---
2024/06/27 04:29:50,232.1,229.4,50.0,18,81.1,32.7,---,---
2024/06/27 04:34:50,231.4,230.0,50.0,18,81.1,33.0,---,---
2024/06/27 04:39:50,231.1,229.9,50.0,17,81.1,33.0,---,---
2024/06/27 04:44:52,232.3,229.7,50.1,17,81.1,33.0,---,---
2024/06/27 04:49:53,232.3,229.9,50.0,17,81.2,33.1,---,---
2024/06/27 04:54:54,232.4,230.3,50.1,18,81.1,33.1,---,---
2024/06/27 04:59:56,232.8,230.0,50.0,18,81.1,33.0,---,---
2024/06/27 05:04:56,232.8,229.8,50.0,18,81.1,33.0,---,---
2024/06/27 05:09:56,231.2,229.7,50.1,17,81.2,33.1,---,---
2024/06/27 05:14:57,231.5,229.9,50.0,18,81.1,33.0,---,---
2024/06/27 05:19:57,230.9,230.0,50.1,17,81.1,33.0,---,---
2024/06/27 05:24:57,231.0,229.2,50.0,18,81.1,32.9,---,---
2024/06/27 05:29:57,230.3,229.8,50.0,18,81.1,32.9,---,---
2024/06/27 05:34:57,230.7,229.9,50.0,18,81.2,32.9,---,---
2024/06/27 05:39:59,231.4,229.7,50.0,18,81.1,33.0,---,---
2024/06/27 05:44:59,232.8,229.6,50.1,18,81.1,33.0,---,---
2024/06/27 05:50:00,232.7,229.6,50.0,17,81.1,33.1,---,---
2024/06/27 05:55:00,231.4,229.6,50.0,17,81.1,33.1,---,---
2024/06/27 06:00:00,233.6,230.1,50.1,18,81.1,33.1,---,---
2024/06/27 06:05:00,233.9,229.8,50.1,18,81.1,33.3,---,---
2024/06/27 06:10:01,233.4,229.5,49.9,18,80.9,33.4,---,---
2024/06/27 06:15:01,233.2,229.8,50.1,17,80.9,33.4,---,---
2024/06/27 06:20:01,231.9,230.0,50.0,17,81.0,33.6,---,---
2024/06/27 06:25:01,232.6,229.8,50.0,18,81.1,33.6,---,---
2024/06/27 06:30:01,231.1,229.6,50.0,18,81.1,33.6,---,---
2024/06/27 06:35:02,230.6,229.5,50.0,17,81.1,33.6,---,---
2024/06/27 06:40:02,229.4,229.7,50.1,18,80.9,33.9,---,---
2024/06/27 06:45:02,230.6,229.5,50.1,18,80.9,34.0,---,---
2024/06/27 06:50:04,230.5,229.2,50.0,18,81.1,34.0,---,---
2024/06/27 06:55:05,230.8,229.7,50.1,18,80.9,34.0,---,---
2024/06/27 07:00:06,231.5,229.8,50.0,18,80.9,34.0,---,---
2024/06/27 07:05:07,230.7,229.4,50.1,18,81.1,34.1,---,---
2024/06/27 07:10:07,229.3,230.2,50.0,17,81.0,34.0,---,---
2024/06/27 07:15:07,229.5,230.0,50.0,18,81.1,34.0,---,---
2024/06/27 07:20:07,229.9,230.0,50.0,19,81.1,34.1,---,---
2024/06/27 07:25:08,230.6,229.4,50.0,17,80.9,34.1,---,---
2024/06/27 07:30:08,229.9,230.0,50.0,18,81.1,34.2,---,---
2024/06/27 07:35:08,231.6,229.6,50.0,17,80.9,34.2,---,---
2024/06/27 07:40:08,230.8,229.9,50.0,18,80.9,34.4,---,---
2024/06/27 07:45:08,230.9,230.0,50.0,17,80.9,34.2,---,---
2024/06/27 07:50:09,230.8,229.7,50.1,18,80.9,34.1,---,---
2024/06/27 07:55:10,231.1,229.5,50.0,18,81.1,34.0,---,---
2024/06/27 08:00:11,230.9,229.9,50.1,17,81.0,34.1,---,---
2024/06/27 08:05:11,230.7,229.9,50.1,18,80.9,34.1,---,---
2024/06/27 08:10:11,228.9,230.0,50.0,18,80.9,34.4,---,---
2024/06/27 08:15:13,231.6,229.5,50.0,17,80.9,34.4,---,---
2024/06/27 08:20:14,231.7,229.6,50.1,18,80.9,34.4,---,---
2024/06/27 08:25:14,231.2,229.3,50.0,18,80.9,34.5,---,---
2024/06/27 08:30:14,231.5,230.0,50.0,17,80.9,34.5,---,---
2024/06/27 08:35:15,229.9,230.1,50.0,17,80.9,34.7,---,---
2024/06/27 08:40:15,230.1,229.4,50.0,18,80.9,34.4,---,---
2024/06/27 08:45:15,232.5,230.1,50.0,19,80.9,34.2,---,---
2024/06/27 08:50:15,232.7,229.1,50.0,18,80.9,34.2,---,---
2024/06/27 08:55:15,232.1,229.6,50.0,18,80.9,34.1,---,---
2024/06/27 09:00:16,233.2,229.7,50.0,17,80.9,33.9,---,---
2024/06/27 09:05:16,232.8,229.7,49.9,18,80.9,34.1,---,---
2024/06/27 09:10:16,232.2,230.5,50.0,18,80.9,35.1,---,---
2024/06/27 09:15:18,232.8,230.3,50.0,18,80.7,36.2,---,---
2024/06/27 09:20:19,232.4,230.3,49.9,17,80.6,36.5,---,---
2024/06/27 09:25:19,232.0,229.9,50.0,18,80.6,36.8,---,---
2024/06/27 09:30:19,234.1,230.1,50.0,18,80.6,37.5,---,---
2024/06/27 09:35:19,232.8,229.8,50.0,18,80.6,37.8,---,---
2024/06/27 09:40:19,233.3,229.8,50.0,18,80.6,37.8,---,---
2024/06/27 09:45:19,232.4,229.9,49.9,18,80.5,38.4,---,---
