Time,InputVolt1(V),OutputVolt1(V),OutputFreq(Hz),Load(%),BatteryVolt(V),Temp.(Degree),EMD temp.(Degree),EMD humidity(%)
2024/06/25 00:00:21,233.5,229.5,50.1,17,81.2,32.3,---,---
2024/06/25 00:05:21,233.7,229.6,50.0,17,81.2,32.3,---,---
2024/06/25 00:10:23,233.5,229.8,50.0,11,81.1,32.3,---,---
2024/06/25 00:15:25,232.4,229.7,50.0,18,81.4,32.3,---,---
2024/06/25 00:20:24,231.1,230.1,50.0,17,81.2,32.3,---,---
2024/06/25 00:25:24,229.8,229.1,50.0,17,81.1,32.3,---,---
2024/06/25 00:30:26,231.5,229.6,49.9,17,81.1,32.3,---,---
2024/06/25 00:35:28,231.3,229.6,50.0,18,81.2,32.3,---,---
2024/06/25 00:40:30,231.9,229.4,50.0,17,81.2,32.3,---,---
2024/06/25 00:45:31,232.4,229.7,50.0,17,81.2,32.3,---,---
2024/06/25 00:50:31,232.3,229.6,50.0,17,81.1,32.3,---,---
2024/06/25 00:55:33,232.0,229.6,50.0,18,81.4,32.3,---,---
2024/06/25 01:00:35,232.4,229.6,50.0,17,81.1,32.3,---,---
2024/06/25 01:05:34,232.2,229.8,50.0,17,81.1,32.3,---,---
2024/06/25 01:10:34,230.7,230.0,50.0,18,81.1,32.3,---,---
2024/06/25 01:15:36,231.4,229.7,50.0,17,81.1,32.3,---,---
2024/06/25 01:20:38,231.2,229.8,50.0,18,81.1,32.3,---,---
2024/06/25 01:25:37,230.9,229.9,50.0,18,81.2,32.5,---,---
2024/06/25 01:30:37,231.5,229.6,50.0,17,81.2,32.5,---,---
2024/06/25 01:35:37,230.4,229.9,50.0,17,81.2,32.3,---,---
2024/06/25 01:40:39,232.0,229.7,50.0,17,81.1,32.3,---,---
2024/06/25 01:45:39,232.1,229.7,50.0,17,81.1,32.3,---,---
2024/06/25 01:50:38,232.4,230.0,50.0,18,81.1,32.2,---,---
2024/06/25 01:55:38,232.4,229.7,50.0,18,81.2,32.2,---,---
2024/06/25 02:00:38,232.3,229.9,49.8,18,81.2,32.2,---,---
2024/06/25 02:05:40,232.0,230.1,49.8,17,81.2,32.2,---,---
2024/06/25 02:10:39,231.9,229.9,49.9,18,81.2,32.3,---,---
2024/06/25 02:15:39,233.3,230.0,49.9,17,81.4,32.3,---,---
2024/06/25 02:20:39,233.5,229.9,49.9,17,81.3,32.3,---,---
2024/06/25 02:25:39,231.8,229.5,50.0,17,81.1,32.3,---,---
2024/06/25 02:30:39,232.2,229.3,50.0,17,81.1,32.3,---,---
2024/06/25 02:35:39,0.0,229.7,50.0,18,79.0,32.2,---,---
2024/06/25 02:40:41,229.7,229.3,50.0,18,81.1,32.3,---,---
2024/06/25 02:45:43,230.5,229.7,50.0,17,81.1,32.3,---,---
2024/06/25 02:50:43,229.5,229.3,50.0,18,81.1,32.3,---,---
2024/06/25 02:55:42,229.5,230.3,50.0,18,81.1,32.3,---,---
2024/06/25 03:00:42,228.3,229.8,50.0,18,81.1,32.3,---,---
2024/06/25 03:05:42,230.2,230.0,50.0,18,81.1,32.2,---,---
2024/06/25 03:10:42,229.5,230.3,50.0,18,81.2,32.3,---,---
2024/06/25 03:15:42,229.9,230.0,50.0,17,81.2,32.3,---,---
2024/06/25 03:20:44,232.4,229.7,50.0,18,81.2,32.2,---,---
2024/06/25 03:25:46,231.4,229.9,50.0,17,81.2,32.2,---,---
2024/06/25 03:30:46,233.1,230.3,50.0,18,81.2,32.2,---,---
2024/06/25 03:35:45,232.5,229.5,49.9,18,81.2,32.2,---,---
2024/06/25 03:40:45,232.1,230.2,50.0,18,81.2,32.3,---,---
2024/06/25 03:45:45,232.6,229.6,50.0,17,81.2,32.2,---,---
2024/06/25 03:50:45,233.3,229.4,50.0,17,81.3,32.3,---,---
2024/06/25 03:55:47,233.2,230.0,50.0,17,81.1,32.3,---,---
2024/06/25 04:00:49,233.3,230.1,50.0,18,81.2,32.2,---,---
2024/06/25 04:05:51,232.2,229.7,50.0,18,81.2,32.2,---,---
2024/06/25 04:10:51,232.4,229.8,50.0,17,81.2,32.1,---,---
2024/06/25 04:15:50,231.9,229.4,50.0,18,81.2,32.1,---,---
2024/06/25 04:20:50,231.9,229.5,50.0,18,81.2,32.1,---,---
2024/06/25 04:25:50,231.3,230.0,50.0,17,81.2,32.1,---,---
2024/06/25 04:30:50,231.8,229.8,50.0,17,81.2,32.0,---,---
2024/06/25 04:35:52,231.5,229.9,50.0,17,81.2,32.1,---,---
2024/06/25 04:40:54,231.7,229.7,50.0,17,81.2,32.1,---,---
2024/06/25 04:45:53,231.1,230.0,50.0,17,81.2,32.1,---,---
2024/06/25 04:50:54,231.4,229.6,50.0,18,81.2,32.2,---,---
2024/06/25 04:55:53,231.5,229.4,49.9,17,81.2,32.1,---,---
2024/06/25 05:00:53,231.0,229.7,50.0,18,81.2,32.1,---,---
2024/06/25 05:05:53,231.1,230.2,50.0,18,81.2,32.2,---,---
2024/06/25 05:10:55,231.0,229.4,50.0,17,81.2,32.1,---,---
2024/06/25 05:15:54,230.7,229.7,50.0,18,81.2,32.1,---,---
2024/06/25 05:20:54,230.0,230.3,49.9,17,81.2,32.1,---,---
2024/06/25 05:25:54,229.6,230.0,49.9,17,81.3,32.1,---,---
2024/06/25 05:30:54,230.0,230.0,50.0,18,81.2,32.0,---,---
2024/06/25 05:35:56,229.5,229.2,49.9,18,81.2,32.0,---,---
2024/06/25 05:40:58,230.1,229.6,50.0,17,81.2,32.1,---,---
2024/06/25 05:45:58,230.2,229.6,50.0,17,81.2,32.0,---,---
2024/06/25 05:51:00,230.2,229.7,49.9,17,81.2,32.1,---,---
2024/06/25 05:55:59,230.9,229.6,50.0,18,81.3,32.1,---,---
2024/06/25 06:00:59,230.2,230.2,50.0,18,81.2,32.1,---,---
2024/06/25 06:05:59,231.6,230.2,50.0,18,81.2,32.1,---,---
2024/06/25 06:11:01,231.7,230.0,50.0,17,81.2,32.1,---,---
2024/06/25 06:16:01,232.6,229.9,50.0,17,81.2,32.1,---,---
2024/06/25 06:21:00,233.1,229.8,50.0,18,81.2,32.2,---,---
2024/06/25 06:26:01,233.3,229.8,50.0,18,81.2,32.2,---,---
2024/06/25 06:31:00,232.3,230.0,49.9,17,81.2,32.3,---,---
2024/06/25 06:36:02,231.0,229.4,50.0,18,81.1,32.3,---,---
2024/06/25 06:41:02,232.1,230.0,50.0,18,81.1,32.5,---,---
2024/06/25 06:46:04,231.6,229.6,49.9,17,81.1,32.9,---,---
2024/06/25 06:51:04,231.7,229.7,50.1,18,81.1,33.1,---,---
2024/06/25 06:56:06,231.3,229.9,50.0,18,81.3,33.6,---,---
2024/06/25 07:01:05,231.3,229.6,50.0,18,81.0,34.1,---,---
2024/06/25 07:06:06,231.9,229.7,49.9,17,80.9,34.4,---,---
2024/06/25 07:11:05,231.9,229.5,50.0,18,80.9,34.7,---,---
2024/06/25 07:16:07,230.3,230.0,49.9,18,80.8,35.0,---,---
2024/06/25 07:21:09,230.6,229.7,49.9,17,80.9,35.3,---,---
2024/06/25 07:26:11,230.6,229.9,50.0,19,80.8,35.6,---,---
2024/06/25 07:31:10,230.5,230.0,50.0,17,80.7,35.6,---,---
2024/06/25 07:36:10,230.0,229.8,50.0,18,80.8,35.9,---,---
2024/06/25 07:41:12,231.9,230.0,50.0,17,80.8,36.0,---,---
2024/06/25 07:46:11,231.6,230.0,50.0,17,80.8,35.9,---,---
2024/06/25 07:51:11,231.3,229.9,50.1,18,80.8,36.3,---,---
2024/06/25 07:56:11,231.6,229.9,50.1,17,80.8,36.5,---,---
2024/06/25 08:01:13,232.3,229.9,50.1,19,80.6,36.9,---,---
2024/06/25 08:06:15,230.7,229.8,50.0,18,80.6,37.5,---,---
2024/06/25 08:11:14,229.8,229.8,50.0,17,80.5,38.1,---,---
2024/06/25 08:16:14,228.9,229.6,50.0,18,80.5,38.5,---,---
2024/06/25 08:21:16,231.8,229.8,50.0,18,80.4,38.9,---,---
2024/06/25 08:26:15,232.0,230.1,50.0,17,80.5,39.5,---,---
2024/06/25 08:31:15,233.5,229.6,50.0,17,80.3,39.7,---,---
2024/06/25 08:36:15,232.4,229.7,50.0,18,80.3,40.0,---,---
2024/06/25 08:41:17,232.1,229.7,50.0,19,80.3,40.1,---,---
2024/06/25 08:46:19,232.5,230.3,50.0,18,80.3,40.0,---,---
2024/06/25 08:51:21,232.5,229.5,50.1,18,80.3,40.1,---,---
2024/06/25 08:56:21,232.3,229.8,50.0,17,80.3,40.1,---,---
2024/06/25 09:01:23,231.6,230.0,50.0,18,80.3,40.1,---,---
2024/06/25 09:06:25,232.0,230.0,50.0,19,80.3,40.0,---,---
2024/06/25 09:11:25,232.5,229.7,50.0,18,80.3,40.4,---,---
2024/06/25 09:16:24,231.1,229.8,50.0,18,80.3,40.5,---,---
2024/06/25 09:21:24,231.2,229.9,50.0,18,80.2,41.0,---,---
2024/06/25 09:26:24,230.6,229.4,50.0,17,80.2,41.1,---,---
2024/06/25 09:31:26,230.4,230.0,50.0,17,80.2,41.1,---,---
2024/06/25 09:36:28,230.7,230.0,50.0,19,80.2,40.9,---,---
2024/06/25 09:41:27,230.2,229.7,50.0,17,80.2,40.5,---,---
2024/06/25 09:46:27,229.5,229.5,50.0,18,80.2,40.8,---,---
2024/06/25 09:51:29,228.7,229.9,50.1,18,80.2,40.9,---,---
2024/06/25 09:56:29,229.6,229.4,50.0,19,80.2,40.9,---,---
2024/06/25 10:01:29,229.9,229.6,50.1,18,80.2,40.9,---,---
2024/06/25 10:06:29,229.6,230.0,50.0,17,80.1,41.3,---,---
2024/06/25 10:11:28,230.9,230.1,50.0,18,80.1,41.3,---,---
