Time,InputVolt1(V),OutputVolt1(V),OutputFreq(Hz),Load(%),BatteryVolt(V),Temp.(Degree),EMD temp.(Degree),EMD humidity(%)
2024/07/07 00:01:00,234.6,229.4,49.9,17,81.4,29.9,---,---
2024/07/07 00:06:00,233.1,230.0,49.8,16,81.4,29.9,---,---
2024/07/07 00:11:02,233.3,229.8,49.8,13,81.5,29.9,---,---
2024/07/07 00:16:01,231.9,229.7,49.9,17,81.4,29.9,---,---
2024/07/07 00:21:01,232.6,229.7,49.9,17,81.4,29.9,---,---
2024/07/07 00:26:01,232.0,229.6,49.9,17,81.4,29.9,---,---
2024/07/07 00:31:03,232.5,229.8,50.0,17,81.4,29.9,---,---
2024/07/07 00:36:05,232.6,230.0,50.0,17,81.5,29.7,---,---
2024/07/07 00:41:07,233.5,229.8,50.0,16,81.4,29.7,---,---
2024/07/07 00:46:07,232.5,229.5,50.0,17,81.4,29.7,---,---
2024/07/07 00:51:09,233.3,229.6,50.1,17,81.4,29.7,---,---
2024/07/07 00:56:08,233.0,229.5,50.0,17,81.4,29.8,---,---
2024/07/07 01:01:08,233.1,229.4,50.0,17,81.4,29.8,---,---
2024/07/07 01:06:08,233.2,230.2,50.0,17,81.4,29.8,---,---
2024/07/07 01:11:08,232.8,229.9,50.0,16,81.5,29.8,---,---
2024/07/07 01:16:08,233.4,229.7,50.0,16,81.4,29.8,---,---
2024/07/07 01:21:08,231.9,229.9,50.0,17,81.4,29.8,---,---
2024/07/07 01:26:08,231.7,229.7,50.0,16,81.4,29.5,---,---
2024/07/07 01:31:10,232.3,230.1,50.0,17,81.5,29.8,---,---
2024/07/07 01:36:09,232.4,230.0,50.0,17,81.5,29.5,---,---
2024/07/07 01:41:09,233.2,229.8,50.0,17,81.5,29.4,---,---
2024/07/07 01:46:09,232.6,229.9,49.9,17,81.5,29.4,---,---
2024/07/07 01:51:09,233.4,229.9,50.0,17,81.5,29.4,---,---
2024/07/07 01:56:10,233.3,229.8,50.0,17,81.5,29.4,---,---
2024/07/07 02:01:10,233.6,230.4,50.0,17,81.5,29.4,---,---
