Time,InputVolt1(V),OutputVolt1(V),OutputFreq(Hz),Load(%),BatteryVolt(V),Temp.(Degree),EMD temp.(Degree),EMD humidity(%)
2024/06/02 00:03:25,233.5,229.5,49.9,18,82.4,36.2,---,---
2024/06/02 00:08:27,233.2,230.1,49.8,17,82.4,35.9,---,---
2024/06/02 00:13:28,233.1,229.2,49.9,16,82.4,35.9,---,---
2024/06/02 00:18:29,233.7,229.7,49.9,16,82.4,35.7,---,---
2024/06/02 00:23:30,232.7,229.8,49.9,17,82.4,35.7,---,---
2024/06/02 00:28:30,233.3,229.4,49.9,17,82.4,35.6,---,---
2024/06/02 00:33:31,233.2,229.6,49.8,17,82.4,35.6,---,---
2024/06/02 00:38:31,233.7,229.9,49.9,17,82.4,35.6,---,---
2024/06/02 00:43:31,233.5,229.6,49.9,17,82.4,35.3,---,---
2024/06/02 00:48:33,234.4,229.9,50.0,17,82.4,35.3,---,---
2024/06/02 00:53:35,234.6,229.8,50.0,16,82.4,35.3,---,---
2024/06/02 00:58:36,233.7,229.7,50.0,16,82.4,35.3,---,---
2024/06/02 01:03:36,233.7,229.8,49.9,17,82.4,35.3,---,---
2024/06/02 01:08:36,234.2,230.5,50.0,17,82.4,35.3,---,---
2024/06/02 01:13:38,234.5,229.7,50.0,17,82.4,35.3,---,---
2024/06/02 01:18:39,234.6,229.6,49.9,17,82.4,35.3,---,---
2024/06/02 01:23:39,234.3,229.6,49.9,17,82.4,35.3,---,---
2024/06/02 01:28:39,235.7,230.2,50.0,17,82.4,35.3,---,---
2024/06/02 01:33:41,234.7,229.8,50.0,17,82.4,35.3,---,---
2024/06/02 01:38:43,235.8,230.0,50.0,17,82.4,35.3,---,---
2024/06/02 01:43:44,234.1,229.8,50.0,17,82.4,35.1,---,---
2024/06/02 01:48:44,234.1,229.5,50.0,17,82.4,35.0,---,---
2024/06/02 01:53:44,234.2,230.0,50.0,17,82.4,35.0,---,---
2024/06/02 01:58:44,0.0,229.8,50.0,18,78.9,34.8,---,---
2024/06/02 02:03:44,0.0,229.4,50.0,17,75.4,34.9,---,---
2024/06/02 02:08:44,0.0,229.5,50.0,18,75.5,35.3,---,---
2024/06/02 02:13:45,0.0,230.0,50.0,17,75.5,35.3,---,---
2024/06/02 02:18:45,0.0,229.7,50.0,18,75.5,35.3,---,---
2024/06/02 02:23:45,0.0,229.9,50.0,17,75.5,35.3,---,---
2024/06/02 02:28:45,0.0,229.8,50.0,18,75.4,35.3,---,---
2024/06/02 02:33:46,0.0,229.7,50.0,18,75.4,35.3,---,---
2024/06/02 02:38:46,0.0,229.8,50.0,18,75.4,35.3,---,---
2024/06/02 02:43:46,0.0,229.7,50.0,18,75.3,35.1,---,---
2024/06/02 02:48:46,0.0,229.7,50.0,18,75.2,35.3,---,---
2024/06/02 02:53:47,0.0,229.8,50.0,17,75.1,35.3,---,---
2024/06/02 02:58:47,0.0,229.8,50.0,16,75.0,35.3,---,---
2024/06/02 03:03:47,0.0,229.8,50.0,17,74.9,35.1,---,---
2024/06/02 03:08:48,0.0,229.8,50.0,18,74.7,34.9,---,---
2024/06/02 03:13:48,0.0,229.7,50.0,18,74.5,34.9,---,---
2024/06/02 03:18:48,0.0,229.8,50.0,17,74.3,35.0,---,---
2024/06/02 03:23:48,0.0,229.9,50.0,19,74.0,34.8,---,---
2024/06/02 03:28:49,0.0,229.7,50.0,17,73.8,34.7,---,---
2024/06/02 03:33:49,0.0,229.6,50.0,17,73.6,34.7,---,---
2024/06/02 03:38:49,0.0,229.7,50.0,18,73.4,34.7,---,---
2024/06/02 03:43:51,0.0,230.0,50.0,17,73.3,34.7,---,---
2024/06/02 03:48:51,0.0,229.7,50.0,18,73.1,34.7,---,---
2024/06/02 03:53:52,0.0,229.6,50.0,17,73.0,34.5,---,---
2024/06/02 03:58:52,0.0,229.8,50.0,17,72.8,34.5,---,---
2024/06/02 04:03:52,0.0,229.8,50.0,18,72.7,34.4,---,---
2024/06/02 04:08:54,0.0,230.0,50.0,16,72.5,34.4,---,---
2024/06/02 04:13:55,0.0,229.9,50.0,17,72.4,34.4,---,---
2024/06/02 04:18:55,0.0,229.9,50.0,18,72.2,34.2,---,---
2024/06/02 04:23:55,0.0,229.9,50.0,18,72.2,34.1,---,---
2024/06/02 04:28:55,0.0,229.7,50.0,18,72.1,34.0,---,---
2024/06/02 04:33:57,0.0,229.8,50.0,18,71.9,33.9,---,---
2024/06/02 04:38:58,0.0,229.7,50.0,18,71.8,33.8,---,---
2024/06/02 04:43:58,0.0,229.8,50.0,17,71.7,33.6,---,---
2024/06/02 04:48:58,0.0,229.8,50.0,18,71.5,33.4,---,---
2024/06/02 04:53:58,0.0,229.8,50.0,17,71.4,33.4,---,---
2024/06/02 04:58:58,0.0,229.8,50.0,17,71.3,33.3,---,---
2024/06/02 05:03:59,0.0,229.9,50.0,17,71.2,33.1,---,---
2024/06/02 05:08:59,232.7,229.8,50.0,16,81.4,32.9,---,---
2024/06/02 05:13:59,229.1,229.1,49.9,17,79.4,33.6,---,---
2024/06/02 05:18:59,231.7,230.3,50.0,17,79.0,34.2,---,---
2024/06/02 05:24:00,233.6,229.8,50.0,17,79.0,34.8,---,---
2024/06/02 05:28:56,232.8,230.5,50.0,17,79.1,35.3,---,---
2024/06/02 05:33:58,231.7,229.0,50.0,17,79.1,35.6,---,---
2024/06/02 05:38:58,233.2,229.4,50.0,17,79.4,35.9,---,---
2024/06/02 05:43:58,231.8,229.7,50.0,17,79.5,36.3,---,---
2024/06/02 05:48:57,233.5,227.8,50.0,17,79.6,36.5,---,---
2024/06/02 05:53:59,232.9,228.7,50.1,16,79.8,36.7,---,---
2024/06/02 05:58:59,232.7,232.0,50.0,17,79.7,36.9,---,---
2024/06/02 06:03:59,232.5,229.8,50.0,16,82.4,36.8,---,---
2024/06/02 06:08:58,233.3,230.5,50.0,17,82.4,36.9,---,---
2024/06/02 06:13:59,233.5,229.8,50.0,17,82.4,36.7,---,---
2024/06/02 06:19:00,233.5,229.8,50.0,17,82.4,36.5,---,---
2024/06/02 06:24:00,233.6,229.9,50.0,17,82.4,36.5,---,---
2024/06/02 06:29:00,233.1,229.9,50.0,17,82.4,36.5,---,---
2024/06/02 06:33:59,233.8,229.7,49.9,17,82.4,36.5,---,---
2024/06/02 06:39:01,233.4,229.6,50.0,16,82.4,36.5,---,---
2024/06/02 06:44:01,233.2,230.3,50.0,17,82.4,36.5,---,---
2024/06/02 06:49:01,233.0,230.0,50.0,18,82.4,36.9,---,---
2024/06/02 06:54:01,233.7,229.9,50.0,16,82.4,37.1,---,---
2024/06/02 06:59:01,233.4,230.1,50.0,18,82.4,37.6,---,---
2024/06/02 07:04:02,234.0,229.6,50.0,18,82.4,37.9,---,---
2024/06/02 07:09:02,234.0,229.9,50.0,18,82.4,38.1,---,---
2024/06/02 07:14:04,232.6,230.0,49.9,18,82.4,38.1,---,---
2024/06/02 07:19:06,232.7,230.3,50.0,17,82.4,38.4,---,---
2024/06/02 07:24:06,232.5,229.5,50.0,18,82.4,38.5,---,---
2024/06/02 07:29:06,232.6,229.8,50.0,17,82.5,38.5,---,---
2024/06/02 07:34:05,232.4,229.4,49.9,18,82.6,38.5,---,---
2024/06/02 07:39:07,232.5,229.7,49.9,18,82.7,38.5,---,---
2024/06/02 07:44:07,233.1,229.7,50.0,17,83.0,38.8,---,---
2024/06/02 07:49:07,233.1,229.6,50.0,17,83.2,39.3,---,---
2024/06/02 07:54:06,233.1,229.7,50.0,17,83.4,39.7,---,---
2024/06/02 07:59:08,233.5,229.7,50.0,17,83.6,40.5,---,---
2024/06/02 08:04:08,232.9,229.5,49.9,18,83.8,41.1,---,---
2024/06/02 08:09:08,233.1,229.7,49.9,17,84.1,41.6,---,---
2024/06/02 08:14:07,0.0,229.7,50.0,19,79.1,42.5,---,---
2024/06/02 08:19:07,232.9,229.8,49.9,6,82.9,43.2,---,---
2024/06/02 08:24:07,233.9,230.3,50.0,18,84.5,43.2,---,---
2024/06/02 08:29:09,231.5,230.0,49.9,17,82.6,43.8,---,---
2024/06/02 08:34:09,231.3,229.7,50.0,17,82.6,44.3,---,---
2024/06/02 08:39:09,230.6,229.6,50.0,18,82.6,44.6,---,---
2024/06/02 08:44:09,230.1,230.0,50.0,18,82.6,44.7,---,---
2024/06/02 08:49:08,230.3,229.8,50.0,18,82.6,44.4,---,---
2024/06/02 08:54:10,230.5,229.6,50.0,17,82.6,44.4,---,---
2024/06/02 08:59:12,231.9,229.5,50.0,18,82.6,44.3,---,---
2024/06/02 09:04:12,232.2,229.4,50.0,18,82.6,44.6,---,---
2024/06/02 09:09:12,232.0,229.6,49.9,17,82.6,44.3,---,---
2024/06/02 09:14:11,232.3,230.2,50.0,18,82.6,44.3,---,---
2024/06/02 09:19:13,231.3,229.8,50.0,18,82.6,44.2,---,---
2024/06/02 09:24:13,232.1,230.0,50.0,17,82.6,44.2,---,---
2024/06/02 09:29:12,231.9,229.7,50.0,18,82.6,44.0,---,---
2024/06/02 09:34:14,232.1,229.5,49.9,17,82.6,43.9,---,---
2024/06/02 09:39:14,231.7,230.0,50.0,18,82.6,43.8,---,---
2024/06/02 09:44:14,231.5,229.7,50.0,17,82.6,43.6,---,---
2024/06/02 09:49:14,231.1,229.3,50.0,18,82.6,43.4,---,---
2024/06/02 09:54:13,231.3,229.6,50.0,17,82.6,43.4,---,---
2024/06/02 09:59:15,230.9,229.8,50.0,17,82.6,43.4,---,---
2024/06/02 10:04:15,230.6,229.6,49.9,18,82.6,43.4,---,---
2024/06/02 10:09:15,231.0,229.6,50.0,18,82.6,43.3,---,---
2024/06/02 10:14:15,230.3,230.3,50.0,18,82.6,43.4,---,---
2024/06/02 10:19:15,230.5,229.7,49.9,17,82.6,43.4,---,---
2024/06/02 10:24:15,230.3,229.5,50.0,19,82.6,43.4,---,---
2024/06/02 10:29:14,230.9,229.6,49.9,18,82.6,43.6,---,---
2024/06/02 10:34:16,233.6,229.5,49.9,17,82.6,43.6,---,---
2024/06/02 10:39:16,233.6,229.7,49.9,18,82.6,43.6,---,---
2024/06/02 10:44:16,233.1,229.7,49.9,18,82.6,43.8,---,---
2024/06/02 10:49:15,232.5,229.7,49.9,17,82.6,44.0,---,---
2024/06/02 10:54:17,231.5,229.6,49.9,18,82.6,44.1,---,---
2024/06/02 10:59:17,231.7,229.4,50.0,18,82.6,44.2,---,---
2024/06/02 11:04:17,232.5,230.1,50.0,18,82.6,44.4,---,---
2024/06/02 11:09:18,232.0,229.5,49.9,17,82.6,44.9,---,---
2024/06/02 11:14:17,232.7,230.1,49.9,18,82.6,45.1,---,---
2024/06/02 11:19:17,233.2,229.6,49.9,18,82.6,45.6,---,---
2024/06/02 11:24:19,231.5,229.8,49.9,18,82.6,45.9,---,---
2024/06/02 11:29:19,232.3,229.8,49.9,18,82.6,46.2,---,---
2024/06/02 11:34:19,232.0,229.8,49.9,17,82.7,46.7,---,---
2024/06/02 11:39:19,231.5,230.1,49.9,17,82.7,46.9,---,---
2024/06/02 11:44:19,232.0,230.0,49.9,17,82.7,47.1,---,---
2024/06/02 11:49:19,231.4,229.9,50.0,18,82.7,47.4,---,---
2024/06/02 11:54:18,231.4,229.8,49.9,18,82.7,47.8,---,---
2024/06/02 11:59:18,231.4,229.8,50.0,18,82.7,47.9,---,---
2024/06/02 12:04:20,230.9,229.4,50.0,18,82.7,48.1,---,---
2024/06/02 12:09:20,231.0,229.3,50.0,17,82.7,48.2,---,---
2024/06/02 12:14:20,230.5,230.1,49.9,18,82.7,48.2,---,---
2024/06/02 12:19:19,230.3,229.9,50.0,17,82.7,48.6,---,---
2024/06/02 12:24:21,229.1,230.0,50.0,18,82.7,48.7,---,---
2024/06/02 12:29:21,229.6,229.9,50.0,18,82.7,48.9,---,---
2024/06/02 12:34:21,233.8,230.4,50.0,18,82.7,48.6,---,---
2024/06/02 12:39:20,231.7,229.7,50.0,17,82.7,48.6,---,---
2024/06/02 12:44:20,232.1,230.0,50.0,17,82.7,48.6,---,---
2024/06/02 12:49:22,232.3,229.8,50.0,17,82.7,49.0,---,---
2024/06/02 12:54:22,232.8,229.9,50.0,17,82.7,49.2,---,---
2024/06/02 12:59:22,233.2,230.3,50.0,18,82.7,49.3,---,---
2024/06/02 13:04:24,232.6,230.2,50.0,18,82.7,49.2,---,---
2024/06/02 13:09:24,231.1,229.6,50.0,18,82.7,49.3,---,---
2024/06/02 13:14:24,231.1,230.1,49.9,18,82.7,49.6,---,---
2024/06/02 13:19:24,232.1,229.6,50.0,17,82.7,49.7,---,---
2024/06/02 13:24:23,231.0,229.6,49.9,17,82.7,50.0,---,---
2024/06/02 13:29:25,231.3,230.0,50.0,17,82.7,50.1,---,---
2024/06/02 13:34:25,231.5,229.3,49.9,18,82.7,50.2,---,---
2024/06/02 13:39:27,230.5,230.0,49.9,18,82.7,50.2,---,---
2024/06/02 13:44:27,229.7,229.5,49.9,18,82.7,50.6,---,---
2024/06/02 13:49:27,229.6,229.6,49.9,18,82.7,50.5,---,---
2024/06/02 13:54:27,229.6,229.6,49.9,17,82.7,50.2,---,---
2024/06/02 13:59:27,229.6,230.1,50.0,17,82.7,50.5,---,---
2024/06/02 14:04:28,229.1,229.9,50.0,17,82.7,50.9,---,---
2024/06/02 14:09:30,229.4,229.8,49.9,15,82.7,51.0,---,---
2024/06/02 14:14:30,229.1,229.4,50.0,15,82.7,50.7,---,---
2024/06/02 14:19:32,229.1,229.5,50.0,15,82.7,50.5,---,---
2024/06/02 14:24:33,229.7,228.9,50.0,15,82.6,50.2,---,---
2024/06/02 14:29:33,228.3,228.4,50.0,15,82.6,50.0,---,---
2024/06/02 14:34:32,229.8,229.1,50.0,15,82.6,49.9,---,---
2024/06/02 14:39:33,228.8,229.1,50.0,15,82.6,49.7,---,---
2024/06/02 14:44:33,229.8,229.4,50.0,15,82.6,49.9,---,---
2024/06/02 14:49:33,229.1,229.1,50.0,15,82.6,49.7,---,---
2024/06/02 14:54:33,229.0,229.0,50.0,15,82.6,49.7,---,---
2024/06/02 14:59:33,229.7,229.5,50.0,15,82.6,49.7,---,---
2024/06/02 15:04:33,230.5,230.4,50.0,15,82.6,49.9,---,---
2024/06/02 15:09:33,230.5,230.5,50.0,15,82.6,49.7,---,---
2024/06/02 15:14:33,229.9,230.2,50.0,15,82.6,49.7,---,---
2024/06/02 15:19:33,230.9,231.8,50.0,15,82.6,49.7,---,---
2024/06/02 15:24:34,230.9,230.6,50.0,15,82.6,49.9,---,---
2024/06/02 15:29:35,231.3,230.7,50.0,15,82.6,49.7,---,---
2024/06/02 15:34:36,232.8,231.9,50.1,15,82.6,49.6,---,---
2024/06/02 15:39:37,232.2,232.1,50.0,15,82.6,49.6,---,---
2024/06/02 15:44:37,232.8,232.6,50.0,15,82.6,49.7,---,---
2024/06/02 15:49:37,232.5,233.3,50.1,15,82.6,49.6,---,---
2024/06/02 15:54:37,232.8,232.9,50.0,15,82.6,49.4,---,---
2024/06/02 15:59:37,231.9,231.9,50.0,15,82.6,49.3,---,---
2024/06/02 16:04:37,232.7,232.3,50.0,15,82.6,49.3,---,---
2024/06/02 16:09:38,231.9,231.6,50.0,15,82.6,49.2,---,---
2024/06/02 16:14:37,231.6,231.4,50.1,15,82.6,49.0,---,---
2024/06/02 16:19:38,231.8,231.9,50.0,15,82.6,48.9,---,---
2024/06/02 16:24:38,233.1,232.2,50.0,15,82.6,48.4,---,---
2024/06/02 16:29:38,233.3,232.7,50.0,15,82.6,48.2,---,---
2024/06/02 16:34:38,232.2,233.4,50.0,15,82.6,47.8,---,---
2024/06/02 16:39:39,232.2,232.3,50.0,15,82.6,47.3,---,---
2024/06/02 16:44:39,232.7,232.3,50.0,15,82.6,46.9,---,---
2024/06/02 16:49:39,232.9,232.5,50.0,15,82.6,46.5,---,---
2024/06/02 16:54:39,232.8,233.0,50.0,15,82.5,46.1,---,---
2024/06/02 16:59:39,233.1,233.4,50.0,15,82.5,45.6,---,---
2024/06/02 17:04:41,233.2,233.0,50.0,15,82.5,45.1,---,---
2024/06/02 17:09:41,233.1,233.1,50.0,15,82.4,45.0,---,---
2024/06/02 17:14:42,233.2,233.1,50.0,15,82.4,44.7,---,---
2024/06/02 17:19:42,233.4,233.5,50.0,15,82.4,44.8,---,---
2024/06/02 17:24:38,230.3,230.2,50.0,15,82.4,44.6,---,---
2024/06/02 17:29:38,230.6,230.6,50.0,15,82.4,44.2,---,---
2024/06/02 17:34:39,230.7,230.8,50.0,15,82.4,44.1,---,---
2024/06/02 17:39:39,230.9,230.5,49.9,15,82.4,44.0,---,---
2024/06/02 17:44:39,230.3,230.7,49.9,15,82.4,43.8,---,---
2024/06/02 17:49:39,230.4,230.6,50.0,15,82.4,43.6,---,---
2024/06/02 17:54:39,230.0,229.9,50.0,15,82.4,43.4,---,---
2024/06/02 17:59:39,231.0,230.8,50.0,15,82.4,43.2,---,---
2024/06/02 18:04:39,231.7,231.7,50.0,15,82.4,42.9,---,---
2024/06/02 18:09:40,231.4,231.5,50.0,14,82.4,42.9,---,---
2024/06/02 18:14:40,231.8,231.5,50.0,15,82.4,42.7,---,---
2024/06/02 18:19:41,230.8,231.8,50.0,15,82.4,42.4,---,---
2024/06/02 18:24:41,231.0,231.1,49.9,15,82.4,42.4,---,---
2024/06/02 18:29:43,0.0,0.0,0.0,0,80.2,42.2,---,---
2024/06/02 18:34:42,233.6,233.7,50.0,0,82.4,41.9,---,---
